trial_num,fixcross_time,fixation_HZ,fixation_bin,fixation_regarded,start_time,Fstart_HZ,Fstart_bin,Fstart_regarded,stop_time,Fstop_HZ,Fstop_bin,Fstop_regarded,RT,boundary_type,key,resp_value,leftright,accuracy,confidence,frameName,response_time,response_HZ,response_bin,response_regarded
1,2310.1123785,69303.371355,69303,2310.1,2310.7289472499997,69321.8684175,69321,2310.7,2312.76313575,69382.8940725,69382,2312.733333333333,3.984919461305253,3,2,6,2,2.0,2.0,b'HB_6_ShortA.png',2316.748055211305,69502.44165633916,69502,2316.733333333333
2,2316.78001425,69503.4004275,69503,2316.766666666667,2317.3632184999997,69520.89655499998,69520,2317.3333333333335,2319.39670825,69581.90124749999,69581,2319.366666666667,2.9210781610163394,1,1,3,1,2.0,2.0,b'NB_13_LongA.png',2322.317786411016,69669.53359233048,69669,2322.3
3,2322.3305029999997,69669.91509,69669,2322.3,2322.8637439999998,69685.91231999999,69685,2322.8333333333335,2324.897089,69746.91267,69746,2324.866666666667,0.24983586912276223,3,2,5,2,2.0,1.0,b'HB_29_LongA.png',2325.146924869123,69754.40774607369,69754,2325.133333333333
4,2325.1761025,69755.283075,69755,2325.1666666666665,2325.72598325,69771.7794975,69771,2325.7,2327.7593859999997,69832.78158,69832,2327.733333333333,1.7351687344780657,3,1,4,1,2.0,1.0,b'HB_2_LongA.png',2329.494554734478,69884.83664203434,69884,2329.4666666666667
5,2329.49851125,69884.9553375,69884,2329.4666666666667,2330.0485262499997,69901.45578749999,69901,2330.0333333333333,2332.37053225,69971.1159675,69971,2332.366666666667,-0.29354775813408196,2,2,6,2,2.0,2.0,b'SB_16_LongA.png',2332.076984491866,69962.30953475597,69962,2332.0666666666666
6,2332.09437725,69962.8313175,69962,2332.0666666666666,2332.67757925,69980.3273775,69980,2332.6666666666665,2334.7108435,70041.325305,70041,2334.7,2.292748552572448,1,2,6,2,2.0,2.0,b'NB_11_LongA.png',2337.0035920525725,70110.10776157718,70110,2337.0
7,2337.0075914999998,70110.227745,70110,2337.0,2337.507498,70125.22494,70125,2337.5,2339.54080825,70186.2242475,70186,2339.5333333333333,0.8686094169097487,1,2,7,2,2.0,3.0,b'NB_8_LongA.png',2340.4094176669096,70212.28253000729,70212,2340.4
8,2340.418746,70212.56237999999,70212,2340.4,2340.95197275,70228.5591825,70228,2340.9333333333334,2342.985933,70289.57798999999,70289,2342.9666666666667,1.8540359204052947,2,2,6,2,2.0,2.0,b'SB_25_ShortA.png',2344.839968920405,70345.19906761215,70345,2344.8333333333335
9,2344.85111925,70345.5335775,70345,2344.8333333333335,2345.3343514999997,70360.03054499999,70360,2345.3333333333335,2347.3678445,70421.03533500001,70421,2347.366666666667,-0.9322312357835472,1,1,2,1,2.0,3.0,b'NB_12_LongA.png',2346.4356132642165,70393.0683979265,70393,2346.4333333333334
10,2346.45059825,70393.5179475,70393,2346.4333333333334,2346.9838135,70409.514405,70409,2346.9666666666667,2349.01703075,70470.51092249999,70470,2349.0,-0.3583200944995042,3,1,3,1,2.0,2.0,b'HB_59_LongA.png',2348.6587106555003,70459.761319665,70459,2348.633333333333
11,2348.6617195,70459.851585,70459,2348.633333333333,2349.19494575,70475.8483725,70475,2349.1666666666665,2351.22882825,70536.8648475,70536,2351.2,3.0925797106174286,3,1,4,1,2.0,1.0,b'HB_17_ShortA.png',2354.3214079606173,70629.64223881852,70629,2354.3
12,2354.3255925,70629.767775,70629,2354.3,2354.892145,70646.76435,70646,2354.866666666667,2356.9253495,70707.76048499999,70707,2356.9,3.806311692809686,1,1,2,1,2.0,3.0,b'NB_18_LongA.png',2360.7316611928095,70821.94983578428,70821,2360.7
13,2360.74037975,70822.2113925,70822,2360.733333333333,2361.273605,70838.20814999999,70838,2361.266666666667,2363.3069105,70899.20731499999,70899,2363.3,4.1325783639913425,3,1,4,1,2.0,1.0,b'HB_39_ShortA.png',2367.4394888639913,71023.18466591973,71023,2367.4333333333334
14,2367.45480925,71023.6442775,71023,2367.4333333333334,2368.00469725,71040.1409175,71040,2368.0,2370.03795375,71101.1386125,71101,2370.0333333333333,3.9870769228436984,3,2,6,2,2.0,2.0,b'HB_19_LongA.png',2374.0250306728435,71220.75092018531,71220,2374.0
15,2374.040328,71221.20984,71221,2374.0333333333333,2374.57354725,71237.2064175,71237,2374.5666666666666,2376.6068757499997,71298.20627249999,71298,2376.6,3.451450574764749,2,2,7,2,2.0,3.0,b'SB_1_ShortA.png',2380.0583263247645,71401.74978974293,71401,2380.0333333333333
16,2380.0736052499997,71402.20815749999,71402,2380.0666666666666,2380.6234845,71418.704535,71418,2380.6,2382.6566844999998,71479.700535,71479,2382.633333333333,1.8193717155081686,1,1,2,1,2.0,3.0,b'NB_20_ShortA.png',2384.476056215508,71534.28168646524,71534,2384.4666666666667
17,2384.491583,71534.74749,71534,2384.4666666666667,2385.041457,71551.24371,71551,2385.0333333333333,2387.0751944999997,71612.25583499999,71612,2387.0666666666666,4.388989704893902,1,2,7,2,2.0,3.0,b'NB_5_ShortA.png',2391.4641842048936,71743.9255261468,71743,2391.4333333333334
18,2391.47925125,71744.3775375,71744,2391.4666666666667,2391.9791379999997,71759.37413999999,71759,2391.9666666666667,2394.0123317499997,71820.3699525,71820,2394.0,1.5764359630120452,1,1,2,1,2.0,3.0,b'NB_3_ShortA.png',2395.5887677130117,71867.66303139036,71867,2395.5666666666666
19,2395.604277,71868.12831,71868,2395.6,2396.15415575,71884.6246725,71884,2396.133333333333,2398.188056,71945.64168,71945,2398.1666666666665,-1.4353642487258185,1,2,7,2,2.0,3.0,b'NB_28_ShortA.png',2396.752691751274,71902.58075253823,71902,2396.733333333333
20,2396.76769475,71903.0308425,71903,2396.766666666667,2397.3175739999997,71919.52721999999,71919,2397.3,2399.351398,71980.54194,71980,2399.3333333333335,0.375060569786001,3,2,3,1,1.0,2.0,b'HB_5_ShortA.png',2399.726458569786,71991.79375709358,71991,2399.7
21,2399.741346,71992.24037999999,71992,2399.733333333333,2400.34121625,72010.23648749999,72010,2400.3333333333335,2402.3745559999998,72071.23667999999,72071,2402.366666666667,0.2003204990469385,2,2,7,2,2.0,3.0,b'SB_60_shortA.png',2402.5748764990467,72077.2462949714,72077,2402.5666666666666
22,2402.59002125,72077.7006375,72077,2402.5666666666666,2403.1732307499997,72095.19692249999,72095,2403.1666666666665,2405.20653275,72156.1959825,72156,2405.2,0.8208939749456476,2,1,2,1,2.0,3.0,b'SB_10_LongA.png',2406.0274267249456,72180.82280174836,72180,2406.0
23,2406.04271225,72181.2813675,72181,2406.0333333333333,2406.542613,72196.27839,72196,2406.5333333333333,2408.576393,72257.29178999999,72257,2408.5666666666666,4.410508350352757,1,1,2,1,2.0,3.0,b'NB_22_LongA.png',2412.9869013503526,72389.60704051057,72389,2412.9666666666667
24,2413.0019052499997,72390.05715749999,72390,2413.0,2413.53512825,72406.0538475,72406,2413.5333333333333,2415.56897625,72467.06928750001,72467,2415.5666666666666,0.9023145370883867,3,2,3,1,1.0,2.0,b'HB_27_ShortA.png',2416.4712907870885,72494.13872361266,72494,2416.4666666666667
25,2416.48618175,72494.5854525,72494,2416.4666666666667,2417.0360625,72511.08187499999,72511,2417.0333333333333,2419.0693535,72572.080605,72572,2419.0666666666666,1.9128855326562189,3,1,5,2,1.0,1.0,b'HB_46_LongA.png',2420.9822390326563,72629.46717097968,72629,2420.9666666666667
26,2420.99762075,72629.9286225,72629,2420.9666666666667,2421.5308385,72645.92515499999,72645,2421.5,2423.56444525,72706.9333575,72706,2423.5333333333333,1.4250401443860028,3,1,6,2,1.0,2.0,b'HB_4_LongA.png',2424.989485394386,72749.68456183159,72749,2424.9666666666667
27,2425.0049504999997,72750.148515,72750,2425.0,2425.52151425,72765.6454275,72765,2425.5,2427.55556425,72826.6669275,72826,2427.5333333333333,1.2045160857087467,3,2,4,1,1.0,1.0,b'HB_52_LongA.png',2428.7600803357086,72862.80241007126,72862,2428.733333333333
