trial_num,fixcross_time,fixation_HZ,fixation_bin,fixation_regarded,start_time,Fstart_HZ,Fstart_bin,Fstart_regarded,stop_time,Fstop_HZ,Fstop_bin,Fstop_regarded,RT,boundary_type,key,resp_value,leftright,accuracy,confidence,frameName,response_time,response_HZ,response_bin,response_regarded
1,2238.6379655,67159.138965,67159,2238.633333333333,2239.2199257499997,67176.59777249998,67176,2239.2,2241.274202,67238.22606,67238,2241.266666666667,1.6121745099080727,3,1,6,2,1.0,2.0,b'HB_30_ShortA.png',2242.886376509908,67286.59129529724,67286,2242.866666666667
2,2242.9241945,67287.72583499999,67287,2242.9,2243.5865209999997,67307.59563,67307,2243.5666666666666,2245.61821,67368.5463,67368,2245.6,1.406766980770044,1,2,7,2,2.0,3.0,b'NB_1_ShortA.png',2247.02497698077,67410.7493094231,67410,2247.0
3,2247.0663335,67411.990005,67411,2247.0333333333333,2247.6283252499998,67428.8497575,67428,2247.6,2249.66006375,67489.8019125,67489,2249.633333333333,1.2428017327329144,1,2,7,2,2.0,3.0,b'NB_25_ShortA.png',2250.902865482733,67527.08596448199,67527,2250.9
4,2250.9105007499998,67527.3150225,67527,2250.9,2251.51268275,67545.3804825,67545,2251.5,2253.544396,67606.33188,67606,2253.5333333333333,1.4056648897239938,1,1,2,1,2.0,3.0,b'NB_11_LongA.png',2254.9500608897238,67648.50182669172,67648,2254.9333333333334
5,2254.96253875,67648.8761625,67648,2254.9333333333334,2255.584638,67667.53914,67667,2255.5666666666666,2257.63954875,67729.1864625,67729,2257.633333333333,1.4555022320710123,1,2,7,2,2.0,3.0,b'NB_29_LongA.png',2259.095050982071,67772.85152946213,67772,2259.0666666666666
6,2259.1229835,67773.689505,67773,2259.1,2259.6846545,67790.539635,67790,2259.6666666666665,2261.716235,67851.48705,67851,2261.7,2.0820285147055984,3,2,3,1,1.0,2.0,b'HB_40_ShortA.png',2263.7982635147055,67913.94790544116,67913,2263.766666666667
7,2263.823523,67914.70569,67914,2263.8,2264.3854595,67931.56378499999,67931,2264.366666666667,2266.416727,67992.50180999999,67992,2266.4,1.7664651687955484,1,2,7,2,2.0,3.0,b'NB_28_ShortA.png',2268.1831921687954,68045.49576506385,68045,2268.1666666666665
8,2268.20409975,68046.1229925,68046,2268.2,2268.806106,68064.18317999999,68064,2268.8,2270.8374424999997,68125.12327499999,68125,2270.8333333333335,1.2657138638896868,2,1,2,1,2.0,3.0,b'SB_10_ShortA.png',2272.1031563638894,68163.09469091668,68163,2272.1
9,2272.11546075,68163.4638225,68163,2272.1,2272.69724275,68180.9172825,68180,2272.6666666666665,2274.72879925,68241.8639775,68241,2274.7,1.543761451728642,2,1,2,1,2.0,3.0,b'SB_52_ShortA.png',2276.2725607017287,68288.17682105186,68288,2276.266666666667
10,2276.2895424999997,68288.68627499999,68288,2276.266666666667,2276.891552,68306.74656,68306,2276.866666666667,2278.92274625,68367.6823875,68367,2278.9,1.9037465499714017,2,2,7,2,2.0,3.0,b'SB_50_ShortA.png',2280.826492799971,68424.79478399914,68424,2280.8
11,2280.83830275,68425.1490825,68425,2280.8333333333335,2281.48047825,68444.4143475,68444,2281.4666666666667,2283.51179875,68505.3539625,68505,2283.5,1.3094675582833588,1,1,2,1,2.0,3.0,b'NB_24_LongA.png',2284.821266308283,68544.6379892485,68544,2284.8
12,2284.84421375,68545.3264125,68545,2284.8333333333335,2285.44619525,68563.3858575,68563,2285.4333333333334,2287.47740625,68624.3221875,68624,2287.4666666666667,1.757341254153289,2,1,2,1,2.0,3.0,b'SB_38_LongA.png',2289.2347475041533,68677.0424251246,68677,2289.233333333333
13,2289.24828,68677.4484,68677,2289.233333333333,2289.810138,68694.30414,68694,2289.8,2291.841468,68755.24404,68755,2291.8333333333335,2.1451354400487617,3,1,6,2,1.0,2.0,b'HB_52_ShortA.png',2293.986603440049,68819.59810320147,68819,2293.9666666666667
14,2293.995485,68819.86455,68819,2293.9666666666667,2294.57744,68837.3232,68837,2294.5666666666666,2296.6081835,68898.245505,68898,2296.6,1.2151527061359957,2,2,7,2,2.0,3.0,b'SB_14_ShortA.png',2297.823336206136,68934.70008618408,68934,2297.8
15,2297.83152775,68934.9458325,68934,2297.8,2298.49352825,68954.8058475,68954,2298.4666666666667,2300.52466775,69015.7400325,69015,2300.5,2.078934150049463,2,2,7,2,2.0,3.0,b'SB_45_ShortA.png',2302.6036019000494,69078.10805700149,69078,2302.6
16,2302.6225215,69078.675645,69078,2302.6,2303.2446717499997,69097.3401525,69097,2303.233333333333,2305.2762905,69158.288715,69158,2305.266666666667,1.4780131047591567,3,2,3,1,1.0,2.0,b'HB_4_LongA.png',2306.754303604759,69202.62910814278,69202,2306.733333333333
