trial_num,fixcross_time,fixation_HZ,fixation_bin,fixation_regarded,start_time,Fstart_HZ,Fstart_bin,Fstart_regarded,stop_time,Fstop_HZ,Fstop_bin,Fstop_regarded,RT,boundary_type,stimuli_type,resp_value,old_new,accuracy,confidence,frameName,response_time,response_HZ,response_bin,response_regarded
1,1153.956864,34618.70592,34618,1153.9333333333334,1154.52416,34635.724799999996,34635,1154.5,1156.06016,34681.8048,34681,1156.0333333333333,1.8368368250867206,1,0,7,1,2,3,b'NB_14_frameB_foil.png',1157.8969968250867,34736.9099047526,34736,1157.8666666666666
2,1157.907456,34737.223679999996,34737,1157.9,1158.44096,34753.2288,34753,1158.4333333333334,1159.974912,34799.247359999994,34799,1159.9666666666667,0.0,1,1,1,0,1,0,b'NB_10_frameA.png',1159.974912,34799.247359999994,34799,1159.9666666666667
3,1160.2022399999998,34806.0672,34806,1160.2,1160.6855679999999,34820.567039999994,34820,1160.6666666666667,1162.218496,34866.554879999996,34866,1162.2,2.1612714560781114,3,1,3,2,2,2,b'HB_3_frameA.png',1164.379767456078,34931.39302368234,34931,1164.3666666666666
4,1164.402688,34932.08064,34932,1164.4,1164.868608,34946.05824,34946,1164.8666666666666,1166.40256,34992.0768,34992,1166.4,1.0198994170577862,2,1,3,2,2,2,b'SB_9_frameB.png',1167.4224594170578,35022.67378251173,35022,1167.4
5,1167.4296319999999,35022.88896,35022,1167.4,1167.9631359999998,35038.89408,35038,1167.9333333333334,1169.4970879999998,35084.912639999995,35084,1169.4666666666667,1.962804102858172,2,0,6,1,2,2,b'SB_4_frameA_foil.png',1171.459892102858,35143.79676308574,35143,1171.4333333333334
6,1171.47136,35144.1408,35144,1171.4666666666667,1171.954688,35158.64064,35158,1171.9333333333334,1173.487616,35204.62848,35204,1173.4666666666667,0.9035690847233582,1,0,7,1,2,3,b'NB_9_frameA_foil.png',1174.3911850847232,35231.7355525417,35231,1174.3666666666666
7,1174.4081919999999,35232.24576,35232,1174.4,1174.907904,35247.23712,35247,1174.9,1176.441856,35293.255679999995,35293,1176.4333333333334,1.297475368544383,1,1,2,2,2,3,b'NB_25_frameB.png',1177.7393313685443,35332.179941056325,35332,1177.7333333333333
8,1177.7556479999998,35332.66944,35332,1177.7333333333333,1178.30656,35349.1968,35349,1178.3,1179.8394879999998,35395.18463999999,35395,1179.8333333333333,1.5917930594991958,3,1,3,2,2,2,b'HB_6_frameA.png',1181.431281059499,35442.93843178497,35442,1181.4
9,1181.441024,35443.23072,35443,1181.4333333333334,1181.990912,35459.72736,35459,1181.9666666666667,1183.524864,35505.74592,35505,1183.5,1.7036549230058426,2,0,7,1,2,3,b'SB_1_frameA_foil.png',1185.2285189230058,35556.855567690174,35556,1185.2
10,1185.243136,35557.29408,35557,1185.2333333333333,1185.793024,35573.790720000005,35573,1185.7666666666667,1187.326976,35619.80928,35619,1187.3,1.2916358683153248,3,0,6,1,2,2,b'HB_9_frameA_foil.png',1188.6186118683154,35658.55835604946,35658,1188.6
