trial_num,fixcross_time,fixation_HZ,fixation_bin,fixation_regarded,start_time,Fstart_HZ,Fstart_bin,Fstart_regarded,stop_time,Fstop_HZ,Fstop_bin,Fstop_regarded,RT,boundary_type,stimuli_type,resp_value,old_new,accuracy,confidence,frameName,response_time,response_HZ,response_bin,response_regarded
1,1285.4099305,38562.297915,38562,1285.4,1285.971816,38579.15448,38579,1285.9666666666667,1287.550254,38626.50762,38626,1287.5333333333333,2.2132334581110626,3,1,2,2,2,3,b'HB_9_frameB.png',1289.763487458111,38692.90462374333,38692,1289.7333333333333
2,1289.7935532499998,38693.80659749999,38693,1289.7666666666667,1290.315462,38709.46386,38709,1290.3,1291.84357775,38755.3073325,38755,1291.8333333333333,1.9186600879766047,3,1,2,2,2,3,b'HB_4_frameA.png',1293.7622378379765,38812.8671351393,38812,1293.7333333333333
3,1293.7926625,38813.779875,38813,1293.7666666666667,1294.29434775,38828.8304325,38828,1294.2666666666667,1295.84162025,38875.2486075,38875,1295.8333333333333,1.3999390482204035,1,0,7,1,2,3,b'NB_29_frameA_foil.png',1297.2415592982204,38917.24677894661,38917,1297.2333333333333
4,1297.26738325,38918.0214975,38918,1297.2666666666667,1297.769072,38933.07216,38933,1297.7666666666667,1299.317624,38979.52872,38979,1299.3,1.9433028397616,3,1,2,2,2,3,b'HB_1_frameB.png',1301.2609268397616,39037.82780519285,39037,1301.2333333333333
5,1301.2766602499998,39038.29980749999,39038,1301.2666666666667,1301.8584417499999,39055.7532525,39055,1301.8333333333333,1303.3857652499998,39101.57295749999,39101,1303.3666666666666,1.8571022204123437,1,0,2,2,1,3,b'NB_3_frameA_foil.png',1305.2428674704122,39157.28602411236,39157,1305.2333333333333
6,1305.2642652499999,39157.9279575,39157,1305.2333333333333,1305.7860222499999,39173.5806675,39173,1305.7666666666667,1307.31321,39219.3963,39219,1307.3,2.3871550385374576,3,1,2,2,2,3,b'HB_9_frameA.png',1309.7003650385375,39291.010951156124,39291,1309.7
7,1309.7139587499998,39291.4187625,39291,1309.7,1310.25566775,39307.6700325,39307,1310.2333333333333,1311.80295075,39354.0885225,39354,1311.8,1.2888528746552765,2,1,3,2,2,2,b'SB_3_frameA.png',1313.0918036246553,39392.75410873966,39392,1313.0666666666666
8,1313.115304,39393.45912,39393,1313.1,1313.6370605,39409.111815,39409,1313.6333333333334,1315.1841865,39455.525595,39455,1315.1666666666667,1.6465816479176283,1,1,2,2,2,3,b'NB_4_frameA.png',1316.8307681479175,39504.92304443753,39504,1316.8
9,1316.8393589999998,39505.18076999999,39505,1316.8333333333333,1317.381329,39521.43987,39521,1317.3666666666666,1318.928508,39567.85524,39567,1318.9,1.379065312561579,2,0,6,1,2,2,b'SB_5_frameB_foil.png',1320.3075733125615,39609.227199376845,39609,1320.3
10,1320.3316965,39609.950894999994,39609,1320.3,1320.8533607499999,39625.6008225,39625,1320.8333333333333,1322.4012575,39672.037724999995,39672,1322.4,1.8334341833833605,3,0,7,1,2,3,b'HB_2_frameB_foil.png',1324.2346916833833,39727.040750501495,39727,1324.2333333333333
11,1324.2453632499999,39727.360897499995,39727,1324.2333333333333,1324.80725775,39744.2177325,39744,1324.8,1326.3344235,39790.032705,39790,1326.3333333333333,2.1274885261664167,3,1,2,2,2,3,b'HB_2_frameA.png',1328.4619120261664,39853.85736078499,39853,1328.4333333333334
12,1328.4713505,39854.140515,39854,1328.4666666666667,1329.0132557499999,39870.397672499996,39870,1329.0,1330.5603987499999,39916.811962499996,39916,1330.5333333333333,1.4044414086965844,3,1,7,1,1,3,b'HB_1_frameB.png',1331.9648401586965,39958.945204760894,39958,1331.9333333333334
13,1331.97704475,39959.3113425,39959,1331.9666666666667,1332.51873075,39975.5619225,39975,1332.5,1334.0465769999998,40021.39730999999,40021,1334.0333333333333,1.9136756238294765,3,1,2,2,2,3,b'HB_7_frameA.png',1335.9602526238293,40078.80757871488,40078,1335.9333333333334
14,1335.98420925,40079.5262775,40079,1335.9666666666667,1336.526015,40095.78045,40095,1336.5,1338.0733834999999,40142.201505,40142,1338.0666666666666,1.8147570579312742,1,0,2,2,1,3,b'NB_20_frameB_foil.png',1339.8881405579311,40196.644216737935,40196,1339.8666666666666
15,1339.9031109999999,40197.093329999996,40197,1339.9,1340.46490075,40213.9470225,40213,1340.4333333333334,1342.01294325,40260.3882975,40260,1342.0,2.103575780056417,3,1,7,1,1,3,b'HB_1_frameB.png',1344.1165190300565,40323.495570901694,40323,1344.1
16,1344.12711425,40323.8134275,40323,1344.1,1344.6490844999998,40339.47253499999,40339,1344.6333333333334,1346.1763545,40385.290635,40385,1346.1666666666667,1.1744790135417134,2,0,3,2,1,2,b'SB_1_frameB_foil.png',1347.3508335135416,40420.52500540625,40420,1347.3333333333333
17,1347.3610072499998,40420.83021749999,40420,1347.3333333333333,1347.9429825,40438.289475,40438,1347.9333333333334,1349.490153,40484.70459,40484,1349.4666666666667,1.0921209083171561,2,0,6,1,2,2,b'SB_1_frameA_foil.png',1350.5822739083171,40517.468217249516,40517,1350.5666666666666
18,1350.5992919999999,40517.97876,40517,1350.5666666666666,1351.12107675,40533.632302499995,40533,1351.1,1352.6689265,40580.067795,40580,1352.6666666666667,1.3870068493997678,2,1,6,1,1,2,b'SB_5_frameB.png',1354.0559333493998,40621.678000481996,40621,1354.0333333333333
