trial_num,fixcross_time,fixation_HZ,fixation_bin,fixation_regarded,start_time,Fstart_HZ,Fstart_bin,Fstart_regarded,stop_time,Fstop_HZ,Fstop_bin,Fstop_regarded,RT,boundary_type,key,resp_value,leftright,accuracy,confidence,frameName,response_time,response_HZ,response_bin,response_regarded
1,2080.353286,62410.59858,62410,2080.3333333333335,2080.870075,62426.102249999996,62426,2080.866666666667,2082.9061807499997,62487.18542249999,62487,2082.9,3.963162106461823,3,2,2,1,1.0,3.0,b'HB_23_ShortA.png',2086.8693428564616,62606.080285693846,62606,2086.866666666667
2,2086.8852697499997,62606.55809249999,62606,2086.866666666667,2087.402148,62622.06444,62622,2087.4,2089.436652,62683.099559999995,62683,2089.4333333333334,1.412821581121534,1,1,3,1,2.0,2.0,b'NB_30_ShortA.png',2090.8494735811214,62725.48420743364,62725,2090.8333333333335
3,2090.8577192499997,62725.73157749999,62725,2090.8333333333335,2091.34120175,62740.2360525,62740,2091.3333333333335,2093.37575925,62801.2727775,62801,2093.366666666667,1.879749409854412,3,1,7,2,1.0,3.0,b'HB_34_ShortA.png',2095.2555086598545,62857.665259795634,62857,2095.233333333333
4,2095.2725929999997,62858.17778999999,62858,2095.266666666667,2095.78945775,62873.6837325,62873,2095.766666666667,2097.8240785,62934.72235499999,62934,2097.8,2.498505719471723,3,1,7,2,1.0,3.0,b'HB_60_LongA.png',2100.3225842194715,63009.67752658414,63009,2100.3
5,2100.3295964999998,63009.88789499999,63009,2100.3,2100.87973575,63026.39207249999,63026,2100.866666666667,2102.9142105,63087.426315000004,63087,2102.9,1.0885774111375213,1,2,6,2,2.0,2.0,b'NB_10_ShortA.png',2104.0027879111376,63120.08363733413,63120,2104.0
6,2104.0107035,63120.321105,63120,2104.0,2104.5108514999997,63135.32554499999,63135,2104.5,2106.54535425,63196.3606275,63196,2106.5333333333333,1.5088491369970143,1,1,3,1,2.0,2.0,b'NB_4_LongA.png',2108.054203386997,63241.62610160991,63241,2108.0333333333333
7,2108.0582142499998,63241.746427499995,63241,2108.0333333333333,2108.5750565,63257.251695,63257,2108.5666666666666,2110.609627,63318.28881,63318,2110.6,2.331830089446157,2,1,2,1,2.0,3.0,b'SB_57_LongA.png',2112.941457089446,63388.24371268338,63388,2112.9333333333334
8,2112.9466515,63388.399545,63388,2112.9333333333334,2113.48019275,63404.40578249999,63404,2113.4666666666667,2115.51472525,63465.441757500004,63465,2115.5,0.9862099573947489,1,2,6,2,2.0,2.0,b'NB_14_ShortA.png',2116.500935207395,63495.02805622185,63495,2116.5
9,2116.5051245,63495.153735,63495,2116.5,2116.988598,63509.65794,63509,2116.9666666666667,2119.02310875,63570.693262500004,63570,2119.0,2.4848809693939984,3,1,7,2,1.0,3.0,b'HB_29_ShortA.png',2121.507989719394,63645.239691581824,63645,2121.5
10,2121.5199665,63645.598995,63645,2121.5,2121.986803,63659.60408999999,63659,2121.9666666666667,2124.02125075,63720.6375225,63720,2124.0,1.5449510510079563,3,2,7,2,2.0,3.0,b'HB_21_ShortA.png',2125.566201801008,63766.98605403024,63766,2125.5333333333333
11,2125.57515775,63767.2547325,63767,2125.5666666666666,2126.10870725,63783.261217499996,63783,2126.1,2128.1431614999997,63844.29484499999,63844,2128.133333333333,2.7167436880990863,3,2,2,1,1.0,3.0,b'HB_58_ShortA.png',2130.8599051880988,63925.79715564296,63925,2130.8333333333335
12,2130.865425,63925.96275,63925,2130.8333333333335,2131.3989075,63941.967225,63941,2131.366666666667,2133.43341475,64003.002442499994,64003,2133.4333333333334,0.0,2,1,1,1,2.0,0.0,b'SB_20_LongA.png',2133.43341475,64003.002442499994,64003,2133.4333333333334
13,2134.5661032499997,64036.98309749999,64036,2134.5333333333333,2135.04960825,64051.4882475,64051,2135.0333333333333,2137.08404225,64112.5212675,64112,2137.0666666666666,2.310758318286389,3,2,2,1,1.0,3.0,b'HB_1_ShortA.png',2139.3948005682864,64181.84401704859,64181,2139.366666666667
14,2139.40938075,64182.2814225,64182,2139.4,2139.942881,64198.28643,64198,2139.9333333333334,2141.97735525,64259.3206575,64259,2141.9666666666667,2.4338865159079432,1,1,3,1,2.0,2.0,b'NB_13_ShortA.png',2144.411241765908,64332.33725297724,64332,2144.4
15,2144.4255049999997,64332.76514999999,64332,2144.4,2144.89233875,64346.7701625,64346,2144.866666666667,2146.92684,64407.8052,64407,2146.9,1.8400695831514895,1,2,6,2,2.0,2.0,b'NB_20_LongA.png',2148.7669095831516,64463.00728749455,64463,2148.766666666667
16,2148.77312975,64463.1938925,64463,2148.766666666667,2149.3065939999997,64479.19781999999,64479,2149.3,2151.3410695,64540.232084999996,64540,2151.3333333333335,2.247024172451347,3,2,7,2,2.0,3.0,b'HB_27_LongA.png',2153.588093672451,64607.64281017354,64607,2153.5666666666666
17,2153.5971289999998,64607.91386999999,64607,2153.5666666666666,2154.097304,64622.91912,64622,2154.0666666666666,2156.131744,64683.95232,64683,2156.1,3.317701934836805,3,1,3,1,2.0,2.0,b'HB_25_ShortA.png',2159.4494459348366,64783.4833780451,64783,2159.4333333333334
18,2159.4540644999997,64783.62193499999,64783,2159.4333333333334,2160.0042205,64800.126615,64800,2160.0,2162.0386975,64861.160925000004,64861,2162.0333333333333,2.0286864703521132,1,2,6,2,2.0,2.0,b'NB_27_LongA.png',2164.0673839703522,64922.02151911057,64922,2164.0666666666666
19,2164.08579925,64922.573977500004,64922,2164.0666666666666,2164.55263725,64936.5791175,64936,2164.5333333333333,2166.5870685,64997.612055,64997,2166.5666666666666,1.4849474192596972,2,2,7,2,2.0,3.0,b'SB_31_LongA.png',2168.0720159192597,65042.16047757779,65042,2168.0666666666666
20,2168.076945,65042.30834999999,65042,2168.0666666666666,2168.5938109999997,65057.814329999994,65057,2168.5666666666666,2170.6282794999997,65118.84838499999,65118,2170.6,3.0057769641280174,3,1,7,2,1.0,3.0,b'HB_51_LongA.png',2173.6340564641278,65209.02169392383,65209,2173.633333333333
21,2173.6499,65209.496999999996,65209,2173.633333333333,2174.1500647499997,65224.50194249999,65224,2174.133333333333,2176.184613,65285.538389999994,65285,2176.1666666666665,2.6078594783321023,2,1,2,1,2.0,3.0,b'SB_7_LongA.png',2178.792472478332,65363.77417434996,65363,2178.766666666667
22,2178.8045307499997,65364.13592249999,65364,2178.8,2179.271334,65378.14002,65378,2179.266666666667,2181.3058475,65439.175424999994,65439,2181.3,2.156082014553249,2,2,7,2,2.0,3.0,b'SB_52_ShortA.png',2183.461929514553,65503.85788543659,65503,2183.4333333333334
23,2183.4767859999997,65504.30357999999,65504,2183.4666666666667,2183.94359325,65518.307797500005,65518,2183.9333333333334,2185.97808175,65579.3424525,65579,2185.9666666666667,2.989999334793538,2,1,3,1,2.0,2.0,b'SB_40_ShortA.png',2188.9680810847935,65669.0424325438,65669,2188.9666666666667
24,2188.9855055,65669.56516499999,65669,2188.9666666666667,2189.56908025,65687.07240749999,65687,2189.5666666666666,2191.60349925,65748.1049775,65748,2191.6,2.0621065609157085,1,2,6,2,2.0,2.0,b'NB_22_LongA.png',2193.6656058109156,65809.96817432747,65809,2193.633333333333
25,2193.6790425,65810.371275,65810,2193.6666666666665,2194.14588875,65824.3766625,65824,2194.133333333333,2196.18035675,65885.4107025,65885,2196.1666666666665,1.5945296734571457,2,2,6,2,2.0,2.0,b'SB_28_LongA.png',2197.7748864234572,65933.24659270371,65933,2197.766666666667
26,2197.78081325,65933.4243975,65933,2197.766666666667,2198.26431525,65947.9294575,65947,2198.233333333333,2200.298746,66008.96238,66008,2200.266666666667,1.6975029394961894,2,2,7,2,2.0,3.0,b'SB_54_LongA.png',2201.996248939496,66059.88746818488,66059,2201.9666666666667
27,2202.00293625,66060.0880875,66060,2202.0,2202.48638725,66074.5916175,66074,2202.4666666666667,2204.520882,66135.62646,66135,2204.5,2.6213432447984815,1,1,3,1,2.0,2.0,b'NB_8_LongA.png',2207.1422252447983,66214.26675734395,66214,2207.133333333333
28,2207.153559,66214.60677,66214,2207.133333333333,2207.6370695,66229.112085,66229,2207.633333333333,2209.6716754999998,66290.15026499999,66290,2209.6666666666665,1.4124076995067298,1,1,3,1,2.0,2.0,b'NB_14_LongA.png',2211.0840831995065,66332.52249598519,66332,2211.0666666666666
29,2211.0901062499997,66332.7031875,66332,2211.0666666666666,2211.5903117499997,66347.7093525,66347,2211.5666666666666,2213.624725,66408.74175,66408,2213.6,1.681284558493644,2,1,3,1,2.0,2.0,b'SB_46_LongA.png',2215.3060095584938,66459.18028675481,66459,2215.3
30,2215.318931,66459.56792999999,66459,2215.3,2215.7857504999997,66473.57251499999,66473,2215.766666666667,2217.82022775,66534.6068325,66534,2217.8,2.1777678350917995,3,1,3,1,2.0,2.0,b'HB_32_ShortA.png',2219.9979955850918,66599.93986755275,66599,2219.9666666666667
31,2220.00182375,66600.0547125,66600,2220.0,2220.4686094999997,66614.05828499999,66614,2220.4666666666667,2222.50310175,66675.0930525,66675,2222.5,1.0357043705880642,1,1,2,1,2.0,3.0,b'NB_13_LongA.png',2223.538806120588,66706.16418361764,66706,2223.5333333333333
32,2223.547606,66706.42818,66706,2223.5333333333333,2224.0310965,66720.93289499999,66720,2224.0,2226.06559175,66781.9677525,66781,2226.0333333333333,3.1300445357337594,3,1,6,2,1.0,2.0,b'HB_13_ShortA.png',2229.1956362857336,66875.86908857201,66875,2229.1666666666665
33,2229.2085039999997,66876.25511999999,66876,2229.2,2229.6920215,66890.760645,66890,2229.6666666666665,2231.72646025,66951.7938075,66951,2231.7,2.3913126988336444,3,1,3,1,2.0,2.0,b'HB_55_ShortA.png',2234.1177729488336,67023.53318846501,67023,2234.1
34,2234.124438,67023.73314,67023,2234.1,2234.65797175,67039.7391525,67039,2234.633333333333,2236.69242,67100.7726,67100,2236.6666666666665,1.1761727072298527,1,1,2,1,2.0,3.0,b'NB_28_LongA.png',2237.8685927072297,67136.05778121689,67136,2237.866666666667
