trial_num,fixcross_time,fixation_HZ,fixation_bin,fixation_regarded,start_time,Fstart_HZ,Fstart_bin,Fstart_regarded,stop_time,Fstop_HZ,Fstop_bin,Fstop_regarded,RT,boundary_type,stimuli_type,resp_value,old_new,accuracy,confidence,frameName,response_time,response_HZ,response_bin,response_regarded
1,1137.03887425,34111.1662275,34111,1137.0333333333333,1137.5223435,34125.670305,34125,1137.5,1139.058217,34171.74651,34171,1139.0333333333333,2.045052812900394,1,1,3,2,2,2,b'NB_16_frameA.png',1141.1032698129004,34233.09809438701,34233,1141.1
2,1141.119547,34233.58641,34233,1141.1,1141.5696825,34247.090475,34247,1141.5666666666666,1143.103893,34293.11679,34293,1143.1,1.2844784292392433,2,0,6,1,2,2,b'SB_1_frameB_foil.png',1144.3883714292392,34331.65114287718,34331,1144.3666666666666
3,1144.4024775,34332.074325,34332,1144.4,1144.8525665,34345.576994999996,34345,1144.8333333333333,1146.38673,34391.6019,34391,1146.3666666666666,1.342424507252872,2,1,3,2,2,2,b'SB_2_frameB.png',1147.7291545072528,34431.87463521759,34431,1147.7
4,1147.735792,34432.07376,34432,1147.7333333333333,1148.26931825,34448.0795475,34448,1148.2666666666667,1149.803487,34494.104609999995,34494,1149.8,1.7785247163847089,1,0,6,1,2,2,b'NB_15_frameA_foil.png',1151.5820117163846,34547.460351491536,34547,1151.5666666666666
5,1151.5950679999999,34547.85204,34547,1151.5666666666666,1152.04518325,34561.3554975,34561,1152.0333333333333,1153.57948575,34607.3845725,34607,1153.5666666666666,1.4414048613980412,2,0,6,1,2,2,b'SB_4_frameA_foil.png',1155.020890611398,34650.62671834194,34650,1155.0
6,1155.03035675,34650.9107025,34650,1155.0,1155.56390925,34666.917277500004,34666,1155.5333333333333,1157.0981645,34712.944935,34712,1157.0666666666666,1.9480682439170778,1,0,6,1,2,2,b'NB_24_frameB_foil.png',1159.046232743917,34771.38698231751,34771,1159.0333333333333
7,1159.05074575,34771.5223725,34771,1159.0333333333333,1159.517568,34785.52704,34785,1159.5,1161.05178075,34831.5534225,34831,1161.0333333333333,2.008840138092637,1,0,6,1,2,2,b'NB_10_frameB_foil.png',1163.0606208880927,34891.81862664278,34891,1163.0333333333333
8,1163.06641475,34891.9924425,34891,1163.0333333333333,1163.5665884999999,34906.997655,34906,1163.5333333333333,1165.100976,34953.029279999995,34953,1165.1,1.3005641838535666,2,0,6,1,2,2,b'SB_9_frameA_foil.png',1166.4015401838535,34992.0462055156,34992,1166.4
9,1166.417233,34992.51699,34992,1166.4,1166.98405725,35009.5217175,35009,1166.9666666666667,1168.518233,35055.54699,35055,1168.5,1.8395375753752887,1,0,6,1,2,2,b'NB_9_frameA_foil.png',1170.3577705753753,35110.73311726126,35110,1170.3333333333333
10,1170.3621389999998,35110.86416999999,35110,1170.3333333333333,1170.8289399999999,35124.8682,35124,1170.8,1172.36316425,35170.8949275,35170,1172.3333333333333,1.9676385070197284,1,0,6,1,2,2,b'NB_21_frameA_foil.png',1174.3308027570197,35229.92408271059,35229,1174.3
11,1174.344012,35230.32036,35230,1174.3333333333333,1174.84412325,35245.323697499996,35245,1174.8333333333333,1176.37826725,35291.3480175,35291,1176.3666666666666,1.3926182170398533,3,1,3,2,2,2,b'HB_2_frameA.png',1177.7708854670398,35333.126564011196,35333,1177.7666666666667
12,1177.7804965,35333.414895,35333,1177.7666666666667,1178.263999,35347.91997,35347,1178.2333333333333,1179.798207,35393.94621,35393,1179.7666666666667,1.525796034373343,3,1,3,2,2,2,b'HB_1_frameA.png',1181.3240030343734,35439.7200910312,35439,1181.3
13,1181.3401945,35440.205835,35440,1181.3333333333333,1181.84032325,35455.2096975,35455,1181.8333333333333,1183.374554,35501.236619999996,35501,1183.3666666666666,1.4183486332185566,2,0,6,1,2,2,b'SB_8_frameA_foil.png',1184.7929026332185,35543.78707899655,35543,1184.7666666666667
14,1184.803478,35544.10434,35544,1184.8,1185.25362825,35557.6088475,35557,1185.2333333333333,1186.7878375,35603.635125,35603,1186.7666666666667,1.9097134922631085,1,1,3,2,2,2,b'NB_10_frameA.png',1188.6975509922631,35660.926529767894,35660,1188.6666666666667
15,1188.71015975,35661.3047925,35661,1188.7,1189.17698325,35675.3094975,35675,1189.1666666666667,1190.71121525,35721.336457499994,35721,1190.7,1.899563126731664,1,0,6,1,2,2,b'NB_13_frameA_foil.png',1192.6107783767316,35778.323351301944,35778,1192.6
16,1192.62434975,35778.7304925,35778,1192.6,1193.091176,35792.73527999999,35792,1193.0666666666666,1194.6253335,35838.760005,35838,1194.6,1.4484417922794819,3,0,6,1,2,2,b'HB_4_frameA_foil.png',1196.0737752922794,35882.21325876838,35882,1196.0666666666666
17,1196.08817375,35882.6452125,35882,1196.0666666666666,1196.55494525,35896.6483575,35896,1196.5333333333333,1198.0891915,35942.675745,35942,1198.0666666666666,1.8090336732566357,1,1,3,2,2,2,b'NB_23_frameB.png',1199.8982251732566,35996.9467551977,35996,1199.8666666666666
18,1199.9009449999999,35997.02834999999,35997,1199.9,1200.36778025,36011.0334075,36011,1200.3666666666666,1201.90203825,36057.061147500004,36057,1201.9,1.44678665837273,3,0,6,1,2,2,b'HB_2_frameB_foil.png',1203.3488249083728,36100.464747251186,36100,1203.3333333333333
19,1203.35311075,36100.593322500004,36100,1203.3333333333333,1203.85327975,36115.5983925,36115,1203.8333333333333,1205.387407,36161.62221,36161,1205.3666666666666,1.6222692229785025,3,1,3,2,2,2,b'HB_5_frameA.png',1207.0096762229784,36210.29028668936,36210,1207.0
20,1207.0209567499999,36210.6287025,36210,1207.0,1207.5377959999998,36226.133879999994,36226,1207.5333333333333,1209.07194475,36272.1583425,36272,1209.0666666666666,1.2743207602761686,2,0,6,1,2,2,b'SB_5_frameA_foil.png',1210.3462655102762,36310.387965308284,36310,1210.3333333333333
