id,fixcross_time,fixation_HZ,fixation_bin,fixation_regarded,start_time,Vstart_HZ,Vstart_bin,Vstart_regarded,stop_time,Vstop_HZ,Vstop_bin,Vstop_regarded,boundary1_time,boundary2_time,boundary3_time,stimCategory,Clip_name
0,0.054272,1.62816,1,0.03333333333333333,1.098752,32.962559999999996,32,1.0666666666666667,9.362432,280.87296,280,9.333333333333334,5.098496,1.098752,1.098752,0,b'NB_10.mp4'
1,9.376768,281.30304,281,9.366666666666667,10.427392,312.82176,312,10.4,18.694143999999998,560.82432,560,18.666666666666668,14.427135999999999,10.427392,10.427392,0,b'NB_21.mp4'
2,18.709504,561.28512,561,18.7,19.779584,593.38752,593,19.766666666666666,27.942912,838.28736,838,27.933333333333334,23.779328,19.779584,19.779584,0,b'NB_7.mp4'
3,27.959296,838.77888,838,27.933333333333334,28.891136,866.73408,866,28.866666666666667,36.957184,1108.71552,1108,36.93333333333333,32.890879999999996,28.891136,28.891136,2,b'HB_20.mp4'
4,36.973568,1109.20704,1109,36.96666666666667,37.95968,1138.7903999999999,1138,37.93333333333333,46.291968,1388.75904,1388,46.266666666666666,41.959424,37.95968,37.95968,2,b'HB_26.mp4'
5,46.308352,1389.25056,1389,46.3,47.368192,1421.04576,1421,47.36666666666667,55.565312,1666.95936,1666,55.53333333333333,51.367936,47.368192,47.368192,2,b'HB_19.mp4'
6,55.581696,1667.45088,1667,55.56666666666667,56.522752,1695.68256,1695,56.5,64.45568,1933.6704,1933,64.43333333333334,62.310399999999994,56.522752,56.522752,1,b'SB_9.mp4'
7,82.087936,2462.63808,2462,82.06666666666666,83.119104,2493.57312,2493,83.1,90.983424,2729.50272,2729,90.96666666666667,88.68556799999999,83.119104,83.119104,1,b'SB_4.mp4'
8,90.998784,2729.9635200000002,2729,90.96666666666667,91.95724799999999,2758.71744,2758,91.93333333333334,100.057088,3001.7126399999997,3001,100.03333333333333,95.956992,91.95724799999999,91.95724799999999,0,b'NB_5.mp4'
9,100.073472,3002.20416,3002,100.06666666666666,101.110784,3033.32352,3033,101.1,109.208576,3276.25728,3276,109.2,106.935296,101.110784,101.110784,1,b'SB_10.mp4'
