id,fixcross_time,fixation_HZ,fixation_bin,fixation_regarded,start_time,Vstart_HZ,Vstart_bin,Vstart_regarded,stop_time,Vstop_HZ,Vstop_bin,Vstop_regarded,boundary1_time,boundary2_time,boundary3_time,stimCategory,Clip_name
0,0.05075975,1.5227925,1,0.03333333333333333,1.0758955,32.276864999999994,32,1.0666666666666667,9.10823825,273.2471475,273,9.1,2.919418,5.405683,1.0758955,1,b'SB_17.mp4'
1,9.12248175,273.67445250000003,273,9.1,10.06543825,301.9631475,301,10.033333333333333,18.031917749999998,540.9575325,540,18.0,12.45792925,10.06543825,10.06543825,1,b'SB_7.mp4'
2,18.04811475,541.4434425,541,18.033333333333335,19.1426695,574.280085,574,19.133333333333333,28.3085345,849.256035,849,28.3,20.21409275,21.277758499999997,19.1426695,1,b'SB_22.mp4'
3,28.32463125,849.7389375,849,28.3,29.332008249999998,879.9602474999999,879,29.3,37.3648755,1120.9462649999998,1120,37.333333333333336,33.33200825,29.332008249999998,29.332008249999998,0,b'NB_24.mp4'
4,37.38133525,1121.4400575,1121,37.36666666666667,38.448263499999996,1153.447905,1153,38.43333333333333,46.54819475,1396.4458425,1396,46.53333333333333,42.448263499999996,38.448263499999996,38.448263499999996,0,b'NB_17.mp4'
5,46.5645895,1396.9376849999999,1396,46.53333333333333,47.62770025,1428.8310075,1428,47.6,55.694016,1670.8204799999999,1670,55.666666666666664,51.62770025,47.62770025,47.62770025,2,b'HB_20.mp4'
6,65.04380925,1951.3142775,1951,65.03333333333333,66.05477499999999,1981.6432499999999,1981,66.03333333333333,74.3872645,2231.617935,2231,74.36666666666666,70.05477499999999,66.05477499999999,66.05477499999999,2,b'HB_26.mp4'
7,74.4035165,2232.105495,2232,74.4,75.38922225,2261.6766675,2261,75.36666666666666,83.2213775,2496.641325,2496,83.2,79.38922225,75.38922225,75.38922225,2,b'HB_29.mp4'
8,83.237674,2497.13022,2497,83.23333333333333,84.19613525,2525.8840575,2525,84.16666666666667,92.260965,2767.82895,2767,92.23333333333333,88.19613525,84.19613525,84.19613525,0,b'NB_22.mp4'
9,92.27743625,2768.3230875,2768,92.26666666666667,93.33796674999999,2800.1390024999996,2800,93.33333333333333,100.50403225,3015.1209675,3015,100.5,97.33796674999999,93.33796674999999,93.33796674999999,0,b'NB_20.mp4'
10,100.5200845,3015.602535,3015,100.5,101.6178375,3048.535125,3048,101.6,109.65115875,3289.5347625,3289,109.63333333333334,105.6178375,104.081007,107.49248449999999,2,b'HB_9.mp4'
11,109.66753625,3290.0260875,3290,109.66666666666667,110.6692135,3320.076405,3320,110.66666666666667,118.6679705,3560.039115,3560,118.66666666666667,114.6692135,110.6692135,110.6692135,0,b'NB_14.mp4'
12,118.68401775,3560.5205324999997,3560,118.66666666666667,119.62217749999999,3588.665325,3588,119.6,128.0550595,3841.651785,3841,128.03333333333333,123.62217749999999,119.62217749999999,119.62217749999999,2,b'HB_22.mp4'
13,140.25413949999998,4207.624185,4207,140.23333333333332,141.2623715,4237.871145,4237,141.23333333333332,149.22872049999998,4476.861615,4476,149.2,145.2623715,141.2623715,141.2623715,0,b'NB_27.mp4'
14,149.24507275,4477.3521825,4477,149.23333333333332,150.19481174999999,4505.844352499999,4505,150.16666666666666,158.34004925,4750.2014775,4750,158.33333333333334,153.62169,150.19481174999999,150.19481174999999,1,b'SB_14.mp4'
15,158.3562705,4750.688115,4750,158.33333333333334,159.3345795,4780.037385,4780,159.33333333333334,166.93076875,5007.9230625,5007,166.9,160.31022875,162.458504,164.104817,1,b'SB_28.mp4'
16,166.94701425,5008.4104275,5008,166.93333333333334,167.8883335,5036.6500049999995,5036,167.86666666666667,176.051403,5281.54209,5281,176.03333333333333,171.8883335,167.8883335,167.8883335,0,b'NB_7.mp4'
17,176.06777599999998,5282.03328,5282,176.06666666666666,177.12493075,5313.7479225,5313,177.1,185.15919499999998,5554.775849999999,5554,185.13333333333333,182.9107655,177.12493075,177.12493075,1,b'SB_13.mp4'
18,194.50818575,5835.2455725,5835,194.5,195.50282024999998,5865.0846075,5865,195.5,203.4989295,6104.967885,6104,203.46666666666667,199.50282024999998,195.50282024999998,195.50282024999998,0,b'NB_19.mp4'
19,203.51528449999998,6105.458535,6105,203.5,204.50988149999998,6135.296444999999,6135,204.5,212.44083899999998,6373.22517,6373,212.43333333333334,208.50988149999998,204.50988149999998,204.50988149999998,0,b'NB_16.mp4'
20,212.4572885,6373.718655000001,6373,212.43333333333334,213.50092675,6405.0278025,6405,213.5,221.83393124999998,6655.017937499999,6655,221.83333333333334,215.28899224999998,213.50092675,213.50092675,1,b'SB_11.mp4'
21,221.8499645,6655.498935,6655,221.83333333333334,222.7755655,6683.266965,6683,222.76666666666668,230.97311875,6929.1935625,6929,230.96666666666667,226.7755655,224.33509525,228.70431975,2,b'HB_10.mp4'
22,230.98946725,6929.6840175,6929,230.96666666666667,232.07962775,6962.3888325,6962,232.06666666666666,239.37923675,7181.3771025,7181,239.36666666666667,236.07962775,232.07962775,232.07962775,0,b'NB_28.mp4'
23,239.39541699999998,7181.862509999999,7181,239.36666666666667,240.442385,7213.27155,7213,240.43333333333334,248.40825925,7452.2477775,7452,248.4,244.442385,240.442385,240.442385,0,b'NB_8.mp4'
24,255.62390474999998,7668.7171425,7668,255.6,256.6476325,7699.428975,7699,256.6333333333333,265.04490749999997,7951.347224999999,7951,265.03333333333336,260.6476325,258.9578285,256.6476325,2,b'HB_3.mp4'
25,265.06110925,7951.833277500001,7951,265.03333333333336,266.07343525,7982.2030575,7982,266.06666666666666,274.13754625,8224.1263875,8224,274.1333333333333,271.0748375,266.07343525,266.07343525,1,b'SB_15.mp4'
26,274.15371749999997,8224.611524999998,8224,274.1333333333333,275.09927,8252.9781,8252,275.06666666666666,282.96312825,8488.8938475,8488,282.93333333333334,280.66614925,275.09927,275.09927,1,b'SB_4.mp4'
27,282.97943075,8489.3829225,8489,282.96666666666664,284.05644424999997,8521.6933275,8521,284.03333333333336,292.2893505,8768.680515,8768,292.26666666666665,286.640859,288.95181475,284.05644424999997,1,b'SB_19.mp4'
28,292.3057425,8769.172275,8769,292.3,293.30854899999997,8799.256469999998,8799,293.3,301.30729225,9039.2187675,9039,301.3,297.30854899999997,293.30854899999997,293.30854899999997,0,b'NB_9.mp4'
29,301.32361825,9039.708547499999,9039,301.3,302.3073465,9069.220395,9069,302.3,310.2033105,9306.099315,9306,310.2,306.3073465,302.3073465,302.3073465,2,b'HB_30.mp4'
30,314.35214824999997,9430.564447499999,9430,314.3333333333333,315.40720899999997,9462.216269999999,9462,315.4,323.34103899999997,9700.23117,9700,323.3333333333333,320.4808275,315.40720899999997,315.40720899999997,1,b'SB_1.mp4'
31,323.3571705,9700.715114999999,9700,323.3333333333333,324.39661325,9731.8983975,9731,324.3666666666667,331.92753174999996,9957.8259525,9957,331.9,328.39661325,324.39661325,324.39661325,0,b'NB_15.mp4'
32,331.94390775,9958.3172325,9958,331.93333333333334,333.041963,9991.258890000001,9991,333.03333333333336,341.14177824999996,10234.253347499998,10234,341.1333333333333,337.041963,333.041963,333.041963,0,b'NB_5.mp4'
33,341.15786075,10234.7358225,10234,341.1333333333333,342.17644275,10265.293282499999,10265,342.1666666666667,350.15666775,10504.7000325,10504,350.1333333333333,346.17644275,348.23594149999997,342.17644275,2,b'HB_5.mp4'
34,350.17299449999996,10505.189835,10505,350.1666666666667,351.1042615,10533.127845,10533,351.1,359.367726,10781.03178,10781,359.3666666666667,355.1042615,351.1042615,351.1042615,0,b'NB_10.mp4'
35,359.38404149999997,10781.521245,10781,359.3666666666667,360.31019975,10809.3059925,10809,360.3,368.37289625,11051.1868875,11051,368.3666666666667,364.471996,360.31019975,360.31019975,1,b'SB_5.mp4'
36,368.38917699999996,11051.675309999999,11051,368.3666666666667,369.3232485,11079.697455,11079,369.3,377.25546449999996,11317.663934999999,11317,377.23333333333335,372.021507,373.575353,369.3232485,1,b'SB_23.mp4'
37,385.02125574999997,11550.6376725,11550,385.0,385.9344595,11578.033785,11578,385.93333333333334,394.60190624999996,11838.057187499999,11838,394.6,389.9344595,385.9344595,385.9344595,0,b'NB_6.mp4'
38,394.6180975,11838.542925,11838,394.6,395.593153,11867.79459,11867,395.56666666666666,403.62441924999996,12108.732577499999,12108,403.6,399.593153,395.593153,395.593153,0,b'NB_1.mp4'
39,403.64081799999997,12109.22454,12109,403.6333333333333,404.68608975,12140.5826925,12140,404.6666666666667,412.71959625,12381.5878875,12381,412.7,408.68608975,406.3238275,410.61323074999996,2,b'HB_12.mp4'
40,412.73583974999997,12382.075192499999,12382,412.73333333333335,413.7136605,12411.409815,12411,413.7,421.74234375,12652.270312499999,12652,421.73333333333335,417.7136605,413.7136605,413.7136605,2,b'HB_28.mp4'
41,421.7586665,12652.759995,12652,421.73333333333335,422.66586974999996,12679.9760925,12679,422.6333333333333,430.7301035,12921.903105,12921,430.7,426.66586974999996,422.66586974999996,422.66586974999996,2,b'HB_16.mp4'
42,430.74646824999996,12922.394047499998,12922,430.73333333333335,431.64759925,12949.4279775,12949,431.6333333333333,439.61349375,13188.404812499999,13188,439.6,433.18984224999997,434.76217975,436.207766,1,b'SB_27.mp4'
