trial_num,fixcross_time,fixation_HZ,fixation_bin,fixation_regarded,start_time,Fstart_HZ,Fstart_bin,Fstart_regarded,stop_time,Fstop_HZ,Fstop_bin,Fstop_regarded,RT,boundary_type,stimuli_type,resp_value,old_new,accuracy,confidence,frameName,response_time,response_HZ,response_bin,response_regarded
1,1348.7284272499999,40461.852817499996,40461,1348.7,1349.2500894999998,40477.50268499999,40477,1349.2333333333333,1350.805592,40524.16776,40524,1350.8,1.022813982839125,1,1,3,2,2,2,b'NB_6_frameA.png',1351.828405982839,40554.85217948517,40554,1351.8
2,1351.84611075,40555.3833225,40555,1351.8333333333333,1352.4082125,40572.246375,40572,1352.4,1353.9357802499999,40618.07340749999,40618,1353.9333333333334,3.835040723847669,3,0,6,1,2,2,b'HB_1_frameA_foil.png',1357.7708209738475,40733.124629215425,40733,1357.7666666666667
3,1357.797577,40733.92731,40733,1357.7666666666667,1358.3795149999999,40751.385449999994,40751,1358.3666666666666,1359.92717825,40797.8153475,40797,1359.9,0.9111487520051469,3,0,7,1,2,3,b'HB_2_frameB_foil.png',1360.8383270020051,40825.14981006015,40825,1360.8333333333333
4,1360.8551654999999,40825.654964999994,40825,1360.8333333333333,1361.4371919999999,40843.11575999999,40843,1361.4333333333334,1362.9679025,40889.037075,40889,1362.9666666666667,1.3934272486153532,2,1,2,2,2,3,b'SB_4_frameB.png',1364.3613297486154,40930.83989245846,40930,1364.3333333333333
5,1364.38377575,40931.5132725,40931,1364.3666666666666,1364.92568375,40947.7705125,40947,1364.9,1366.4765384999998,40994.296154999996,40994,1366.4666666666667,1.7226981270180204,2,0,7,1,2,3,b'SB_4_frameA_foil.png',1368.1992366270179,41045.97709881054,41045,1368.1666666666667
6,1368.223235,41046.697049999995,41046,1368.2,1368.78522625,41063.5567875,41063,1368.7666666666667,1370.31262,41109.3786,41109,1370.3,1.7041169969052135,1,1,2,2,2,3,b'NB_28_frameA.png',1372.0167369969051,41160.50210990715,41160,1372.0
7,1372.0335619999998,41161.006859999994,41161,1372.0333333333333,1372.5754399999998,41177.263199999994,41177,1372.5666666666666,1374.1232734999999,41223.69820499999,41223,1374.1,0.9656309177134972,2,0,7,1,2,3,b'SB_9_frameB_foil.png',1375.0889044177134,41252.6671325314,41252,1375.0666666666666
8,1375.10643225,41253.1929675,41253,1375.1,1375.68841725,41270.6525175,41270,1375.6666666666667,1377.2156635,41316.469905,41316,1377.2,2.4409077052932844,3,0,6,1,2,2,b'HB_4_frameA_foil.png',1379.6565712052932,41389.69713615879,41389,1379.6333333333334
9,1379.6789254999999,41390.367764999995,41390,1379.6666666666667,1380.2006595,41406.019785000004,41406,1380.2,1381.728517,41451.85551,41451,1381.7,1.7661237659315248,2,0,6,1,2,2,b'SB_2_frameB_foil.png',1383.4946407659315,41504.83922297795,41504,1383.4666666666667
10,1383.5076689999999,41505.23007,41505,1383.5,1384.0896135,41522.688405,41522,1384.0666666666666,1385.6375475,41569.126425,41569,1385.6333333333334,0.0,3,0,1,0,1,0,b'HB_1_frameA_foil.png',1385.6375475,41569.126425,41569,1385.6333333333334
