trial_num,fixcross_time,fixation_HZ,fixation_bin,fixation_regarded,start_time,Fstart_HZ,Fstart_bin,Fstart_regarded,stop_time,Fstop_HZ,Fstop_bin,Fstop_regarded,RT,boundary_type,key,resp_value,leftright,accuracy,confidence,frameName,response_time,response_HZ,response_bin,response_regarded
1,2044.106752,61323.20256,61323,2044.1,2044.606464,61338.19392,61338,2044.6,2046.641152,61399.23456,61399,2046.6333333333334,4.813885903226037,1,2,6,2,2.0,2.0,b'NB_24_ShortA.png',2051.455037903226,61543.651137096786,61543,2051.4333333333334
2,2051.468288,61544.04864,61544,2051.4666666666667,2052.0519679999998,61561.55903999999,61561,2052.0333333333333,2054.085632,61622.56896,61622,2054.0666666666666,1.596826327038798,1,1,2,1,2.0,3.0,b'NB_27_LongA.png',2055.6824583270386,61670.47374981116,61670,2055.6666666666665
3,2055.694336,61670.83008,61670,2055.6666666666665,2056.226816,61686.80448,61686,2056.2,2058.26048,61747.814399999996,61747,2058.233333333333,2.9516433481649074,2,2,7,2,2.0,3.0,b'SB_27_LongA.png',2061.212123348165,61836.36370044494,61836,2061.2
4,2061.220864,61836.62592,61836,2061.2,2061.754368,61852.63103999999,61852,2061.733333333333,2063.788032,61913.64096,61913,2063.766666666667,3.4012238605887433,2,2,7,2,2.0,3.0,b'SB_43_LongA.png',2067.1892558605887,62015.67767581766,62015,2067.1666666666665
5,2067.1928319999997,62015.78495999999,62015,2067.1666666666665,2067.7099519999997,62031.29855999999,62031,2067.7,2069.7436159999997,62092.30847999999,62092,2069.733333333333,0.6138756544937678,2,1,2,1,2.0,3.0,b'SB_47_LongA.png',2070.3574916544935,62110.724749634806,62110,2070.3333333333335
6,2070.36416,62110.9248,62110,2070.3333333333335,2070.897664,62126.92992,62126,2070.866666666667,2072.931328,62187.93984000001,62187,2072.9,-0.2056992991711013,2,1,2,1,2.0,3.0,b'SB_49_LongA.png',2072.725628700829,62181.76886102487,62181,2072.7
7,2072.735744,62182.07232,62182,2072.733333333333,2073.269248,62198.07744,62198,2073.266666666667,2075.302912,62259.087360000005,62259,2075.3,2.809010836395828,3,1,4,1,2.0,1.0,b'HB_21_ShortA.png',2078.111922836396,62343.357685091876,62343,2078.1
8,2078.123008,62343.69024,62343,2078.1,2078.640128,62359.20384,62359,2078.633333333333,2080.673792,62420.21376,62420,2080.6666666666665,1.264841971527403,1,1,2,1,2.0,3.0,b'NB_9_LongA.png',2081.9386339715275,62458.15901914582,62458,2081.9333333333334
9,2081.95584,62458.675200000005,62458,2081.9333333333334,2082.538496,62476.15488,62476,2082.5333333333333,2084.573184,62537.195519999994,62537,2084.5666666666666,2.5202040394215146,3,1,3,1,2.0,2.0,b'HB_9_ShortA.png',2087.0933880394214,62612.80164118264,62612,2087.0666666666666
10,2087.097344,62612.92031999999,62612,2087.0666666666666,2087.630848,62628.92543999999,62628,2087.6,2089.664512,62689.935359999996,62689,2089.633333333333,3.4833130279089346,1,1,2,1,2.0,3.0,b'NB_26_ShortA.png',2093.1478250279088,62794.43475083726,62794,2093.133333333333
