trial_num,fixcross_time,fixation_HZ,fixation_bin,fixation_regarded,start_time,Fstart_HZ,Fstart_bin,Fstart_regarded,stop_time,Fstop_HZ,Fstop_bin,Fstop_regarded,RT,boundary_type,stimuli_type,resp_value,old_new,accuracy,confidence,frameName,response_time,response_HZ,response_bin,response_regarded
1,1102.08161125,33062.4483375,33062,1102.0666666666666,1102.72375825,33081.7127475,33081,1102.7,1104.279135,33128.37405,33128,1104.2666666666667,1.5634266011184081,3,1,3,2,2,2,b'HB_1_frameA.png',1105.8425616011184,33175.27684803355,33175,1105.8333333333333
2,1105.8730745,33176.192235,33176,1105.8666666666666,1106.4148865,33192.446595,33192,1106.4,1107.962794,33238.88382,33238,1107.9333333333334,0.5482278123963624,1,0,6,1,2,2,b'NB_3_frameA_foil.png',1108.5110218123964,33255.33065437189,33255,1108.5
3,1108.5423417499999,33256.2702525,33256,1108.5333333333333,1109.104183,33273.12549,33273,1109.1,1110.65201475,33319.5604425,33319,1110.6333333333334,1.6992779518477619,2,1,3,2,2,2,b'SB_7_frameB.png',1112.3512927018478,33370.53878105543,33370,1112.3333333333333
4,1112.3779815,33371.339445,33371,1112.3666666666666,1112.94000975,33388.2002925,33388,1112.9333333333334,1114.4677095,33434.031285,33434,1114.4666666666667,1.264270587475039,2,1,4,2,2,1,b'SB_6_frameB.png',1115.731980087475,33471.95940262425,33471,1115.7
5,1115.758531,33472.75593,33472,1115.7333333333333,1116.32041475,33489.6124425,33489,1116.3,1117.89129475,33536.7388425,33536,1117.8666666666666,1.1307864895788953,2,1,3,2,2,2,b'SB_9_frameB.png',1119.022081239579,33570.66243718737,33570,1119.0
6,1119.054066,33571.621979999996,33571,1119.0333333333333,1119.63610025,33589.0830075,33589,1119.6333333333334,1121.16371575,33634.911472499996,33634,1121.1333333333334,1.400267792167142,1,1,3,2,2,2,b'NB_24_frameA.png',1122.563983542167,33676.91950626501,33676,1122.5333333333333
7,1122.5746717499999,33677.240152499995,33677,1122.5666666666666,1123.09644,33692.8932,33692,1123.0666666666666,1124.64446125,33739.3338375,33739,1124.6333333333334,1.039200845756568,3,1,4,2,2,1,b'HB_9_frameB.png',1125.6836620957565,33770.5098628727,33770,1125.6666666666667
8,1125.68917275,33770.675182499996,33770,1125.6666666666667,1126.2914269999999,33788.742809999996,33788,1126.2666666666667,1127.81877575,33834.5632725,33834,1127.8,-0.46054559806361794,1,1,3,2,2,2,b'NB_26_frameA.png',1127.3582301519364,33820.746904558095,33820,1127.3333333333333
9,1127.3654072499999,33820.9622175,33820,1127.3333333333333,1127.9072065,33837.216195,33837,1127.9,1129.4344695,33883.034085,33883,1129.4333333333334,1.6591410008259118,3,0,6,1,2,2,b'HB_2_frameA_foil.png',1131.093610500826,33932.80831502478,33932,1131.0666666666666
10,1131.1006089999998,33933.01826999999,33933,1131.1,1131.6223097499999,33948.669292499995,33948,1131.6,1133.1696722499998,33995.0901675,33995,1133.1666666666667,1.0937225975794718,3,1,3,2,2,2,b'HB_9_frameA.png',1134.2633948475793,34027.90184542738,34027,1134.2333333333333
11,1134.2763627499999,34028.2908825,34028,1134.2666666666667,1134.818203,34044.54609,34044,1134.8,1136.345547,34090.366409999995,34090,1136.3333333333333,1.3954040586249903,2,1,3,2,2,2,b'SB_6_frameA.png',1137.740951058625,34132.228531758745,34132,1137.7333333333333
12,1137.7497335,34132.492005,34132,1137.7333333333333,1138.33166225,34149.9498675,34149,1138.3,1139.87898525,34196.369557499995,34196,1139.8666666666666,1.5677168027032167,3,0,6,1,2,2,b'HB_9_frameA_foil.png',1141.4467020527031,34243.40106158109,34243,1141.4333333333334
13,1141.45162325,34243.5486975,34243,1141.4333333333334,1142.01373225,34260.4119675,34260,1142.0,1143.54083775,34306.2251325,34306,1143.5333333333333,2.4498344442108646,3,0,6,1,2,2,b'HB_7_frameA_foil.png',1145.990672194211,34379.72016582633,34379,1145.9666666666667
14,1146.01550825,34380.465247500004,34380,1146.0,1146.5372745,34396.118235,34396,1146.5333333333333,1148.08521625,34442.5564875,34442,1148.0666666666666,0.6213035407708958,1,1,3,2,2,2,b'NB_22_frameA.png',1148.706519790771,34461.195593723125,34461,1148.7
15,1148.72706475,34461.8119425,34461,1148.7,1149.228912,34476.867360000004,34476,1149.2,1150.75616025,34522.6848075,34522,1150.7333333333333,0.8734006150625646,2,1,3,2,2,2,b'SB_3_frameA.png',1151.6295608650626,34548.88682595188,34548,1151.6
16,1151.641019,34549.23057,34549,1151.6333333333334,1152.1828295,34565.484885,34565,1152.1666666666667,1153.73016175,34611.904852499996,34611,1153.7,1.0840462702326477,1,0,6,1,2,2,b'NB_1_frameA_foil.png',1154.8142080202326,34644.426240606976,34644,1154.8
17,1154.8333665,34645.000995,34645,1154.8333333333333,1155.4156205,34662.468615,34662,1155.4,1156.9428269999999,34708.28481,34708,1156.9333333333334,1.3134969082893804,3,0,6,1,2,2,b'HB_1_frameB_foil.png',1158.2563239082892,34747.68971724868,34747,1158.2333333333333
18,1158.264568,34747.937040000004,34747,1158.2333333333333,1158.84648425,34765.3945275,34765,1158.8333333333333,1160.37387425,34811.2162275,34811,1160.3666666666666,1.5654894510516897,3,1,3,2,2,2,b'HB_1_frameB.png',1161.9393637010517,34858.18091103155,34858,1161.9333333333334
