trial_num,fixcross_time,fixation_HZ,fixation_bin,fixation_regarded,start_time,Fstart_HZ,Fstart_bin,Fstart_regarded,stop_time,Fstop_HZ,Fstop_bin,Fstop_regarded,RT,boundary_type,stimuli_type,resp_value,old_new,accuracy,confidence,frameName,response_time,response_HZ,response_bin,response_regarded
1,1137.310256,34119.30768,34119,1137.3,1137.8102615,34134.307845,34134,1137.8,1139.34463625,34180.3390875,34180,1139.3333333333333,2.302446972913458,3,0,7,1,2,3,b'HB_1_frameB_foil.png',1141.6470832229134,34249.4124966874,34249,1141.6333333333334
2,1141.67251475,34250.175442499996,34250,1141.6666666666667,1142.23918675,34267.1756025,34267,1142.2333333333333,1143.77265875,34313.179762499996,34313,1143.7666666666667,1.9068126984493574,1,0,7,1,2,3,b'NB_9_frameA_foil.png',1145.6794714484492,34370.38414345348,34370,1145.6666666666667
3,1145.68528425,34370.5585275,34370,1145.6666666666667,1146.2186605,34386.559815,34386,1146.2,1147.75221025,34432.5663075,34432,1147.7333333333333,0.17913435582158854,2,1,2,2,2,3,b'SB_3_frameB.png',1147.9313446058216,34437.940338174645,34437,1147.9
4,1147.94772225,34438.4316675,34438,1147.9333333333334,1148.44763075,34453.428922499996,34453,1148.4333333333334,1149.981171,34499.43513,34499,1149.9666666666667,0.0,2,1,1,0,1,0,b'SB_7_frameB.png',1149.981171,34499.43513,34499,1149.9666666666667
5,1152.05775275,34561.7325825,34561,1152.0333333333333,1152.52428825,34575.7286475,34575,1152.5,1154.05780925,34621.7342775,34621,1154.0333333333333,3.472538435118622,1,1,2,2,2,3,b'NB_28_frameA.png',1157.5303476851186,34725.91043055356,34725,1157.5
6,1157.54526625,34726.3579875,34726,1157.5333333333333,1158.11173575,34743.3520725,34743,1158.1,1159.645339,34789.36017,34789,1159.6333333333334,1.8309504307908355,1,1,2,2,2,3,b'NB_26_frameA.png',1161.4762894307908,34844.288682923725,34844,1161.4666666666667
7,1161.4862405,34844.587215,34844,1161.4666666666667,1161.9527765,34858.583295000004,34858,1161.9333333333334,1163.4863,34904.589,34904,1163.4666666666667,1.7108433358735056,2,1,2,2,2,3,b'SB_6_frameB.png',1165.1971433358735,34955.914300076205,34955,1165.1666666666667
8,1165.20187175,34956.0561525,34956,1165.2,1165.718619,34971.55857,34971,1165.7,1167.25193575,35017.5580725,35017,1167.2333333333333,2.403538900965941,3,0,6,1,2,2,b'HB_8_frameA_foil.png',1169.655474650966,35089.66423952898,35089,1169.6333333333334
9,1169.66685175,35090.0055525,35090,1169.6666666666667,1170.2001625,35106.004875,35106,1170.2,1171.7337555,35152.012664999995,35152,1171.7333333333333,0.9552886931342073,3,0,6,1,2,2,b'HB_9_frameB_foil.png',1172.6890441931341,35180.67132579402,35180,1172.6666666666667
10,1172.69860925,35180.958277499994,35180,1172.6666666666667,1173.2485984999998,35197.457955,35197,1173.2333333333333,1174.78222625,35243.466787499994,35243,1174.7666666666667,1.8816415861947462,1,0,6,1,2,2,b'NB_8_frameB_foil.png',1176.6638678361946,35299.91603508584,35299,1176.6333333333334
11,1176.67554425,35300.2663275,35300,1176.6666666666667,1177.192149,35315.76447,35315,1177.1666666666667,1178.72583325,35361.774997500004,35361,1178.7,2.38515957861091,3,0,6,1,2,2,b'HB_2_frameB_foil.png',1181.110992828611,35433.32978485833,35433,1181.1
12,1181.11978125,35433.5934375,35433,1181.1,1181.61973875,35448.5921625,35448,1181.6,1183.153303,35494.59909,35494,1183.1333333333334,0.915902594992076,2,1,2,2,2,3,b'SB_2_frameB.png',1184.0692055949921,35522.076167849766,35522,1184.0666666666666
13,1184.082772,35522.483159999996,35522,1184.0666666666666,1184.6160605,35538.481815,35538,1184.6,1186.149571,35584.487129999994,35584,1186.1333333333334,2.0180471877902164,3,1,2,2,2,3,b'HB_1_frameB.png',1188.1676181877901,35645.0285456337,35645,1188.1666666666667
14,1188.184524,35645.53572,35645,1188.1666666666667,1188.7344954999999,35662.034864999994,35662,1188.7333333333333,1190.2680942499999,35708.042827499994,35708,1190.2666666666667,2.2940913217971683,3,1,2,2,2,3,b'HB_2_frameA.png',1192.562185571797,35776.86556715391,35776,1192.5333333333333
15,1192.57024125,35777.1072375,35777,1192.5666666666666,1193.07014675,35792.1044025,35792,1193.0666666666666,1194.6036964999998,35838.110895,35838,1194.6,1.5703139338511392,1,1,3,2,2,2,b'NB_4_frameA.png',1196.174010433851,35885.22031301553,35885,1196.1666666666667
16,1196.181672,35885.45016,35885,1196.1666666666667,1196.66496025,35899.9488075,35899,1196.6333333333334,1198.1985097499999,35945.955292499995,35945,1198.1666666666667,-0.3795833403855795,3,1,3,2,2,2,b'HB_4_frameB.png',1197.8189264096143,35934.56779228843,35934,1197.8
17,1197.82639,35934.7917,35934,1197.8,1198.3262654999999,35949.787964999996,35949,1198.3,1199.8597985,35995.793954999994,35995,1199.8333333333333,0.733747607722762,1,1,3,2,2,2,b'NB_16_frameA.png',1200.5935461077227,36017.80638323168,36017,1200.5666666666666
18,1200.6056095,36018.168285,36018,1200.6,1201.0721925,36032.165775,36032,1201.0666666666666,1202.6057085,36078.171255,36078,1202.6,2.0641574088367634,1,1,2,2,2,3,b'NB_22_frameA.png',1204.6698659088368,36140.095977265104,36140,1204.6666666666667
19,1204.67227475,36140.1682425,36140,1204.6666666666667,1205.1389545,36154.168635,36154,1205.1333333333334,1206.6725609999999,36200.17683,36200,1206.6666666666667,2.1871730210841633,1,1,2,2,2,3,b'NB_25_frameB.png',1208.859734021084,36265.79202063252,36265,1208.8333333333333
20,1208.8695675,36266.087025,36266,1208.8666666666666,1209.40283825,36282.0851475,36282,1209.4,1210.9363395,36328.090185,36328,1210.9333333333334,0.9259275687072659,3,1,6,1,1,2,b'HB_2_frameB.png',1211.8622670687073,36355.86801206122,36355,1211.8333333333333
21,1211.8799585,36356.398754999995,36356,1211.8666666666666,1212.3632734999999,36370.898205,36370,1212.3333333333333,1213.896785,36416.903549999995,36416,1213.8666666666666,2.181198060789029,1,1,2,2,2,3,b'NB_14_frameA.png',1216.077983060789,36482.339491823666,36482,1216.0666666666666
22,1216.08703075,36482.6109225,36482,1216.0666666666666,1216.570324,36497.10972,36497,1216.5666666666666,1218.1038099999998,36543.114299999994,36543,1218.1,2.234584640675166,1,0,7,1,2,3,b'NB_12_frameB_foil.png',1220.338394640675,36610.15183922025,36610,1220.3333333333333
23,1220.34762275,36610.4286825,36610,1220.3333333333333,1220.88095675,36626.4287025,36626,1220.8666666666666,1222.41445125,36672.4335375,36672,1222.4,2.5143892554551712,1,0,6,1,2,2,b'NB_28_frameB_foil.png',1224.9288405054551,36747.865215163656,36747,1224.9
24,1224.9420575,36748.261725,36748,1224.9333333333334,1225.442001,36763.26003,36763,1225.4333333333334,1226.9924119999998,36809.772359999995,36809,1226.9666666666667,2.979234543745406,3,1,6,1,1,2,b'HB_8_frameB.png',1229.9716465437452,36899.14939631236,36899,1229.9666666666667
25,1229.97407375,36899.2222125,36899,1229.9666666666667,1230.4740835,36914.222505,36914,1230.4666666666667,1232.007825,36960.234749999996,36960,1232.0,2.6229841990134446,3,0,7,1,2,3,b'HB_2_frameA_foil.png',1234.6308091990134,37038.9242759704,37038,1234.6
26,1234.646499,37039.39497,37039,1234.6333333333334,1235.179826,37055.39478,37055,1235.1666666666667,1236.7133872499999,37101.4016175,37101,1236.7,1.1835945814455044,2,1,2,2,2,3,b'SB_2_frameA.png',1237.8969818314454,37136.909454943365,37136,1237.8666666666666
27,1237.9005184999999,37137.015555,37137,1237.9,1238.400475,37152.01425,37152,1238.4,1239.93412425,37198.023727499996,37198,1239.9333333333334,1.2157851669908268,1,1,2,2,2,3,b'NB_19_frameB.png',1241.1499094169908,37234.49728250972,37234,1241.1333333333334
28,1241.16046725,37234.8140175,37234,1241.1333333333334,1241.71042975,37251.3128925,37251,1241.7,1243.244003,37297.32009,37297,1243.2333333333333,2.1894784961477853,1,0,6,1,2,2,b'NB_1_frameA_foil.png',1245.4334814961478,37363.004444884435,37363,1245.4333333333334
29,1245.438222,37363.14666,37363,1245.4333333333334,1245.9715274999999,37379.145825,37379,1245.9666666666667,1247.5052107499998,37425.15632249999,37425,1247.5,2.2226796011964325,1,0,7,1,2,3,b'NB_4_frameB_foil.png',1249.7278903511963,37491.836710535885,37491,1249.7
30,1249.7355465,37492.066395,37492,1249.7333333333333,1250.252071,37507.56213,37507,1250.2333333333333,1251.7857565,37553.572694999995,37553,1251.7666666666667,1.4569511503723334,1,1,2,2,2,3,b'NB_27_frameB.png',1253.2427076503723,37597.281229511165,37597,1253.2333333333333
31,1253.257134,37597.71402,37597,1253.2333333333333,1253.790638,37613.71914,37613,1253.7666666666667,1255.3239715,37659.719144999995,37659,1255.3,1.7610090289599611,1,0,7,1,2,3,b'NB_14_frameB_foil.png',1257.08498052896,37712.549415868794,37712,1257.0666666666666
32,1257.093089,37712.792669999995,37712,1257.0666666666666,1257.6263032499999,37728.7890975,37728,1257.6,1259.1599267499998,37774.7978025,37774,1259.1333333333334,1.1866077899830998,1,0,7,1,2,3,b'NB_2_frameB_foil.png',1260.346534539983,37810.39603619949,37810,1260.3333333333333
33,1260.34825575,37810.4476725,37810,1260.3333333333333,1260.8482932499999,37825.448797499994,37825,1260.8333333333333,1262.38177825,37871.4533475,37871,1262.3666666666666,2.0654426741748466,1,1,2,2,2,3,b'NB_17_frameB.png',1264.4472209241749,37933.416627725244,37933,1264.4333333333334
34,1264.46429075,37933.9287225,37933,1264.4333333333334,1264.964362,37948.93086,37948,1264.9333333333334,1266.498022,37994.94066,37994,1266.4666666666667,1.4516821037250338,2,0,7,1,2,3,b'SB_3_frameB_foil.png',1267.949704103725,38038.49112311175,38038,1267.9333333333334
35,1267.95871475,38038.7614425,38038,1267.9333333333334,1268.491929,38054.75787,38054,1268.4666666666667,1270.0256295,38100.768885,38100,1270.0,0.7434995868097758,2,1,3,2,2,2,b'SB_3_frameA.png',1270.7691290868097,38123.07387260429,38123,1270.7666666666667
36,1270.7747534999999,38123.24260499999,38123,1270.7666666666667,1271.29126,38138.7378,38138,1271.2666666666667,1272.82505625,38184.7516875,38184,1272.8,0.815588100500463,2,0,6,1,2,2,b'SB_9_frameB_foil.png',1273.6406443505005,38209.219330515014,38209,1273.6333333333334
37,1273.646794,38209.40382,38209,1273.6333333333334,1274.1134755,38223.404265000005,38223,1274.1,1275.64693625,38269.4080875,38269,1275.6333333333334,0.27511249492818024,3,0,7,1,2,3,b'HB_2_frameB_foil.png',1275.9220487449281,38277.661462347845,38277,1275.9
38,1275.9382165,38278.146495,38278,1275.9333333333334,1276.4547492499998,38293.6424775,38293,1276.4333333333334,1277.98827125,38339.6481375,38339,1277.9666666666667,1.5317692210519454,1,1,2,2,2,3,b'NB_24_frameA.png',1279.520040471052,38385.60121413156,38385,1279.5
39,1279.52277775,38385.6833325,38385,1279.5,1279.989425,38399.68275,38399,1279.9666666666667,1281.5229312499998,38445.68793749999,38445,1281.5,3.181583429854072,1,1,3,2,2,2,b'NB_3_frameB.png',1284.704514679854,38541.135440395614,38541,1284.7
40,1284.7108812499998,38541.32643749999,38541,1284.7,1285.194159,38555.82477,38555,1285.1666666666667,1286.72775975,38601.8327925,38601,1286.7,1.0677750866307179,3,0,2,2,1,3,b'HB_7_frameB_foil.png',1287.7955348366306,38633.86604509892,38633,1287.7666666666667
41,1287.80917525,38634.2752575,38634,1287.8,1288.2923899999998,38648.7717,38648,1288.2666666666667,1289.8258495,38694.775485,38694,1289.8,1.1509250132949091,2,1,3,2,2,2,b'SB_8_frameB.png',1290.976774513295,38729.303235398846,38729,1290.9666666666667
42,1290.9854787499999,38729.564362499994,38729,1290.9666666666667,1291.51875475,38745.5626425,38745,1291.5,1293.05234025,38791.5702075,38791,1293.0333333333333,0.9115475434882683,2,0,7,1,2,3,b'SB_9_frameA_foil.png',1293.9638877934883,38818.91663380465,38818,1293.9333333333334
43,1293.97948325,38819.384497499996,38819,1293.9666666666667,1294.4794695,38834.384085,38834,1294.4666666666667,1296.0129622499999,38880.3888675,38880,1296.0,-0.29203843690629583,3,1,7,1,1,3,b'HB_6_frameA.png',1295.7209238130936,38871.62771439281,38871,1295.7
44,1295.7306302499999,38871.918907499996,38871,1295.7,1296.2305522499998,38886.9165675,38886,1296.2,1297.76432325,38932.929697499996,38932,1297.7333333333333,2.5645645244512707,2,1,2,2,2,3,b'SB_8_frameA.png',1300.3288877744512,39009.866633233534,39009,1300.3
45,1300.33232725,39009.9698175,39009,1300.3,1300.8823165,39026.469495,39026,1300.8666666666666,1302.4160427499999,39072.4812825,39072,1302.4,1.5887107922462747,2,0,6,1,2,2,b'SB_3_frameA_foil.png',1304.0047535422461,39120.142606267385,39120,1304.0
46,1304.0221875,39120.665625,39120,1304.0,1304.55543625,39136.6630875,39136,1304.5333333333333,1306.08894825,39182.6684475,39182,1306.0666666666666,1.8492923689846066,3,1,7,1,1,3,b'HB_9_frameA.png',1307.9382406189845,39238.14721856954,39238,1307.9333333333334
47,1307.94382,39238.3146,39238,1307.9333333333334,1308.44377375,39253.3132125,39253,1308.4333333333334,1309.9772625,39299.317875,39299,1309.9666666666667,1.5866508029357647,3,1,7,1,1,3,b'HB_3_frameA.png',1311.5639133029358,39346.91739908807,39346,1311.5333333333333
48,1311.57024325,39347.1072975,39347,1311.5666666666666,1312.120197,39363.60591,39363,1312.1,1313.65368375,39409.6105125,39409,1313.6333333333334,1.8794669884009636,2,1,2,2,2,3,b'SB_2_frameA.png',1315.533150738401,39465.99452215203,39465,1315.5
49,1315.53821525,39466.1464575,39466,1315.5333333333333,1316.038087,39481.142609999995,39481,1316.0333333333333,1317.57153625,39527.1460875,39527,1317.5666666666666,1.1034213030943647,3,0,2,2,1,3,b'HB_4_frameA_foil.png',1318.6749575530944,39560.24872659283,39560,1318.6666666666667
50,1318.68764975,39560.6294925,39560,1318.6666666666667,1319.1876157499998,39575.62847249999,39575,1319.1666666666667,1320.72131775,39621.6395325,39621,1320.7,3.2146594857185846,2,1,7,1,1,3,b'SB_5_frameB.png',1323.9359772357186,39718.079317071555,39718,1323.9333333333334
51,1323.9487299999998,39718.461899999995,39718,1323.9333333333334,1324.43201175,39732.9603525,39732,1324.4,1325.965546,39778.96638,39778,1325.9333333333334,1.0782595655327896,2,0,7,1,2,3,b'SB_1_frameA_foil.png',1327.0438055655327,39811.31416696598,39811,1327.0333333333333
52,1327.054334,39811.63002,39811,1327.0333333333333,1327.6209075,39828.627225,39828,1327.6,1329.1544744999999,39874.634235,39874,1329.1333333333334,0.9430926136483322,3,1,7,1,1,3,b'HB_1_frameA.png',1330.0975671136482,39902.92701340945,39902,1330.0666666666666
53,1330.10306625,39903.091987499996,39903,1330.1,1330.6196585,39918.589755,39918,1330.6,1332.1531089999999,39964.59327,39964,1332.1333333333334,2.121511738630943,1,0,6,1,2,2,b'NB_19_frameA_foil.png',1334.2746207386308,40028.238622158926,40028,1334.2666666666667
54,1334.28957825,40028.6873475,40028,1334.2666666666667,1334.80628925,40044.1886775,40044,1334.8,1336.339708,40090.19124,40090,1336.3333333333333,1.5579068879742408,1,1,3,2,2,2,b'NB_23_frameB.png',1337.8976148879742,40136.92844663923,40136,1337.8666666666666
55,1337.91195625,40137.358687500004,40137,1337.9,1338.428568,40152.85704,40152,1338.4,1339.9620485,40198.861455,40198,1339.9333333333334,1.1419180129669257,2,1,7,1,1,3,b'SB_5_frameA.png',1341.103966512967,40233.118995389006,40233,1341.1
56,1341.12251,40233.675299999995,40233,1341.1,1341.6891067499998,40250.673202499995,40250,1341.6666666666667,1343.22275625,40296.6826875,40296,1343.2,1.2503424100214033,1,0,6,1,2,2,b'NB_10_frameB_foil.png',1344.4730986600214,40334.19295980064,40334,1344.4666666666667
57,1344.48733275,40334.6199825,40334,1344.4666666666667,1344.98729375,40349.6188125,40349,1344.9666666666667,1346.5208317499998,40395.624952499995,40395,1346.5,0.2775820815877523,2,1,2,2,2,3,b'SB_4_frameB.png',1346.7984138315876,40403.95241494763,40403,1346.7666666666667
58,1346.803176,40404.095279999994,40404,1346.8,1347.286415,40418.592450000004,40418,1347.2666666666667,1348.8200405,40464.601215,40464,1348.8,1.7880278904776787,2,0,6,1,2,2,b'SB_1_frameB_foil.png',1350.6080683904777,40518.24205171433,40518,1350.6
59,1350.615898,40518.47694,40518,1350.6,1351.165867,40534.97601,40534,1351.1333333333334,1352.6994049999998,40580.982149999996,40580,1352.6666666666667,0.9647644835713436,3,1,3,2,2,2,b'HB_1_frameB.png',1353.6641694835712,40609.92508450714,40609,1353.6333333333334
60,1353.67838925,40610.3516775,40610,1353.6666666666667,1354.26157875,40627.8473625,40627,1354.2333333333333,1355.79528425,40673.85852749999,40673,1355.7666666666667,0.9795091350388248,2,0,6,1,2,2,b'SB_6_frameA_foil.png',1356.7747933850387,40703.24380155116,40703,1356.7666666666667
61,1356.779687,40703.39061,40703,1356.7666666666667,1357.2962062499998,40718.88618749999,40718,1357.2666666666667,1358.8297082499998,40764.891247499996,40764,1358.8,0.2043229504779447,3,1,7,1,1,3,b'HB_5_frameA.png',1359.0340312004778,40771.020936014334,40771,1359.0333333333333
62,1359.04179525,40771.2538575,40771,1359.0333333333333,1359.55843175,40786.7529525,40786,1359.5333333333333,1361.0919434999998,40832.758304999996,40832,1361.0666666666666,0.754648915179132,2,1,2,2,2,3,b'SB_1_frameB.png',1361.846592415179,40855.39777245537,40855,1361.8333333333333
63,1361.8491817499998,40855.475452499995,40855,1361.8333333333333,1362.3490964999999,40870.472895,40870,1362.3333333333333,1363.8827405,40916.482214999996,40916,1363.8666666666666,0.4946139298408525,3,0,6,1,2,2,b'HB_5_frameB_foil.png',1364.3773544298408,40931.32063289522,40931,1364.3666666666666
64,1364.39266875,40931.7800625,40931,1364.3666666666666,1364.942511,40948.27533,40948,1364.9333333333334,1366.47596725,40994.2790175,40994,1366.4666666666667,-0.1658322610601317,1,1,2,2,2,3,b'NB_15_frameB.png',1366.3101349889398,40989.30404966819,40989,1366.3
65,1366.31396525,40989.4189575,40989,1366.3,1366.79724825,41003.917447499996,41003,1366.7666666666667,1368.33085375,41049.925612499996,41049,1368.3,1.9434802164687426,2,0,7,1,2,3,b'SB_2_frameB_foil.png',1370.2743339664687,41108.23001899406,41108,1370.2666666666667
66,1370.280591,41108.41773,41108,1370.2666666666667,1370.81394475,41124.4183425,41124,1370.8,1372.34750225,41170.4250675,41170,1372.3333333333333,1.9447334526048508,1,0,7,1,2,3,b'NB_3_frameA_foil.png',1374.2922357026048,41228.767071078146,41228,1374.2666666666667
67,1374.29955025,41228.9865075,41228,1374.2666666666667,1374.8161587499999,41244.4847625,41244,1374.8,1376.3497065,41290.491194999995,41290,1376.3333333333333,1.208110089355614,1,1,2,2,2,3,b'NB_21_frameB.png',1377.5578165893555,41326.73449768066,41326,1377.5333333333333
68,1377.5620629999999,41326.86188999999,41326,1377.5333333333333,1378.111987,41343.35961,41343,1378.1,1379.64549425,41389.3648275,41389,1379.6333333333334,2.0923885376978433,3,1,7,1,1,3,b'HB_2_frameA.png',1381.7378827876978,41452.13648363094,41452,1381.7333333333333
