trial_num,fixcross_time,fixation_HZ,fixation_bin,fixation_regarded,start_time,Fstart_HZ,Fstart_bin,Fstart_regarded,stop_time,Fstop_HZ,Fstop_bin,Fstop_regarded,RT,boundary_type,key,resp_value,leftright,accuracy,confidence,frameName,response_time,response_HZ,response_bin,response_regarded
1,2141.921689,64257.650669999995,64257,2141.9,2142.503641,64275.109229999995,64275,2142.5,2144.5609974999998,64336.82992499999,64336,2144.5333333333333,-0.12729154967382783,2,1,2,1,2.0,3.0,b'SB_54_LongA.png',2144.433705950326,64333.011178509776,64333,2144.4333333333334
2,2144.4834375,64334.503125,64334,2144.4666666666667,2145.1255905,64353.767714999994,64353,2145.1,2147.1573089999997,64414.719269999994,64414,2147.133333333333,1.172686965783214,2,1,2,1,2.0,3.0,b'SB_40_LongA.png',2148.329995965783,64449.89987897349,64449,2148.3
3,2148.37162675,64451.1488025,64451,2148.366666666667,2148.9738012499997,64469.214037499994,64469,2148.9666666666667,2151.00525525,64530.15765750001,64530,2151.0,1.5386773625978094,3,1,7,2,1.0,3.0,b'HB_38_ShortA.png',2152.543932612598,64576.317978377934,64576,2152.5333333333333
4,2152.5560929999997,64576.68278999999,64576,2152.5333333333333,2153.1581145,64594.743435,64594,2153.133333333333,2155.1895765,64655.687294999996,64655,2155.1666666666665,0.0,2,2,1,1,1.0,0.0,b'SB_2_ShortA.png',2155.1895765,64655.687294999996,64655,2155.1666666666665
5,2156.05140525,64681.54215749999,64681,2156.0333333333333,2156.6534632499997,64699.60389749999,64699,2156.633333333333,2158.6844417499997,64760.53325249999,64760,2158.6666666666665,0.0,3,1,1,1,2.0,0.0,b'HB_60_ShortA.png',2158.6844417499997,64760.53325249999,64760,2158.6666666666665
6,2157.674211,64730.22633,64730,2157.6666666666665,2158.3163624999997,64749.49087499999,64749,2158.3,2160.34773975,64810.432192500004,64810,2160.3333333333335,1.1827405587573594,2,1,2,1,2.0,3.0,b'SB_18_LongA.png',2161.5304803087574,64845.914409262725,64845,2161.5
7,2161.55186875,64846.55606249999,64846,2161.5333333333333,2162.133793,64864.01379,64864,2162.133333333333,2164.1652135,64924.956405,64924,2164.133333333333,-0.5533577486821741,3,2,7,2,2.0,3.0,b'HB_2_LongA.png',2163.6118557513178,64908.35567253953,64908,2163.6
8,2163.64521175,64909.35635249999,64909,2163.633333333333,2164.227433,64926.82299,64926,2164.2,2166.25877975,64987.7633925,64987,2166.233333333333,4.081686921053915,3,1,7,2,1.0,3.0,b'HB_56_LongA.png',2170.340466671054,65110.214000131615,65110,2170.3333333333335
9,2170.36231575,65110.8694725,65110,2170.3333333333335,2171.004478,65130.13434,65130,2171.0,2173.03581525,65191.07445749999,65191,2173.0333333333333,-0.9918880134719075,3,2,2,1,1.0,3.0,b'HB_14_ShortA.png',2172.043927236528,65161.317817095834,65161,2172.0333333333333
10,2172.05297625,65161.5892875,65161,2172.0333333333333,2172.69514825,65180.854447499994,65180,2172.6666666666665,2174.7265365,65241.796095,65241,2174.7,2.9503762350905163,2,1,2,1,2.0,3.0,b'SB_47_LongA.png',2177.6769127350904,65330.30738205271,65330,2177.6666666666665
11,2177.685975,65330.579249999995,65330,2177.6666666666665,2178.2677719999997,65348.03315999999,65348,2178.266666666667,2180.2987049999997,65408.96114999999,65408,2180.266666666667,1.4661024716479005,1,2,7,2,2.0,3.0,b'NB_30_ShortA.png',2181.7648074716476,65452.944224149425,65452,2181.733333333333
12,2181.783691,65453.51073,65453,2181.766666666667,2182.4258635,65472.775905,65472,2182.4,2184.45724725,65533.7174175,65533,2184.4333333333334,3.9790252581442473,3,2,7,2,2.0,3.0,b'HB_21_ShortA.png',2188.436272508144,65653.08817524432,65653,2188.4333333333334
