trial_num,fixcross_time,fixation_HZ,fixation_bin,fixation_regarded,start_time,Fstart_HZ,Fstart_bin,Fstart_regarded,stop_time,Fstop_HZ,Fstop_bin,Fstop_regarded,RT,boundary_type,stimuli_type,resp_value,old_new,accuracy,confidence,frameName,response_time,response_HZ,response_bin,response_regarded
1,1227.6658137499999,36829.9744125,36829,1227.6333333333334,1228.14905325,36844.4715975,36844,1228.1333333333334,1229.71057325,36891.3171975,36891,1229.7,0.0,3,0,1,0,1,0,b'HB_9_frameA_foil.png',1229.71057325,36891.3171975,36891,1229.7
2,1228.07355575,36842.2066725,36842,1228.0666666666666,1228.64010125,36859.2030375,36859,1228.6333333333334,1230.1740687499998,36905.2220625,36905,1230.1666666666667,-0.5802059053676203,3,1,3,2,2,2,b'HB_6_frameA.png',1229.5938628446322,36887.81588533897,36887,1229.5666666666666
3,1229.6213695,36888.641084999996,36888,1229.6,1230.15458075,36904.637422499996,36904,1230.1333333333334,1231.68876775,36950.6630325,36950,1231.6666666666667,4.377369183624978,3,0,6,1,2,2,b'HB_2_frameA_foil.png',1236.0661369336249,37081.98410800875,37081,1236.0333333333333
4,1236.0748815,37082.246445,37082,1236.0666666666666,1236.541464,37096.24391999999,37096,1236.5333333333333,1238.07808725,37142.3426175,37142,1238.0666666666666,2.7239940675499383,3,1,2,2,2,3,b'HB_7_frameB.png',1240.80208131755,37224.0624395265,37224,1240.8
5,1240.837754,37225.13262,37225,1240.8333333333333,1241.4043112499999,37242.129337499995,37242,1241.4,1242.95824775,37288.7474325,37288,1242.9333333333334,0.27924707491183653,2,1,3,2,2,2,b'SB_4_frameA.png',1243.237494824912,37297.124844747355,37297,1243.2333333333333
6,1243.2501002499998,37297.503007499996,37297,1243.2333333333333,1243.7166785,37311.500355,37311,1243.7,1245.2511694999998,37357.535084999996,37357,1245.2333333333333,-1.0355366967851296,3,1,2,2,2,3,b'HB_2_frameB.png',1244.2156328032147,37326.46898409644,37326,1244.2
7,1244.238856,37327.16568,37327,1244.2333333333333,1244.73875125,37342.1625375,37342,1244.7333333333333,1246.2734727499999,37388.2041825,37388,1246.2666666666667,0.9524943312280811,3,0,7,1,2,3,b'HB_5_frameB_foil.png',1247.225967081228,37416.77901243684,37416,1247.2
8,1247.2426102499999,37417.2783075,37417,1247.2333333333333,1247.74251575,37432.2754725,37432,1247.7333333333333,1249.2770222499998,37478.310667499994,37478,1249.2666666666667,3.2688172400958138,2,1,3,2,2,2,b'SB_3_frameB.png',1252.5458394900957,37576.37518470287,37576,1252.5333333333333
9,1252.5512127499999,37576.536382499995,37576,1252.5333333333333,1253.1011027499999,37593.0330825,37593,1253.1,1254.635935,37639.078050000004,37639,1254.6333333333334,-1.2687442583992379,1,1,3,2,2,2,b'NB_24_frameA.png',1253.3671907416008,37601.01572224803,37601,1253.3666666666666
10,1253.3754099999999,37601.262299999995,37601,1253.3666666666666,1253.8753124999998,37616.259374999994,37616,1253.8666666666666,1255.409819,37662.29457,37662,1255.4,0.9894994236092316,1,0,7,1,2,3,b'NB_7_frameA_foil.png',1256.3993184236092,37691.979552708275,37691,1256.3666666666666
11,1256.40706675,37692.212002500004,37692,1256.4,1256.906955,37707.20865,37707,1256.9,1258.44060625,37753.2181875,37753,1258.4333333333334,1.3863220821804134,2,1,2,2,2,3,b'SB_7_frameA.png',1259.8269283321804,37794.807849965415,37794,1259.8
12,1259.832723,37794.98169,37794,1259.8,1260.3326137499998,37809.97841249999,37809,1260.3,1261.8663325,37855.989975,37855,1261.8333333333333,1.2190902041475056,2,1,2,2,2,3,b'SB_2_frameA.png',1263.0854227041475,37892.56268112442,37892,1263.0666666666666
13,1263.09997675,37892.9993025,37892,1263.0666666666666,1263.5998705,37907.996115,37907,1263.5666666666666,1265.134652,37954.03956,37954,1265.1333333333334,1.60341880004853,1,1,2,2,2,3,b'NB_19_frameB.png',1266.7380708000485,38002.14212400145,38002,1266.7333333333333
14,1266.75478875,38002.6436625,38002,1266.7333333333333,1267.3213365,38019.640094999995,38019,1267.3,1268.856121,38065.68363,38065,1268.8333333333333,0.7503070606617257,1,1,2,2,2,3,b'NB_12_frameA.png',1269.6064280606618,38088.19284181985,38088,1269.6
15,1269.6184395,38088.553185,38088,1269.6,1270.1516655,38104.549965,38104,1270.1333333333334,1271.68634275,38150.5902825,38150,1271.6666666666667,-2.8821159876824822,1,1,2,2,2,3,b'NB_2_frameA.png',1268.8042267623175,38064.12680286953,38064,1268.8
16,1268.8111757499998,38064.33527249999,38064,1268.8,1269.32772725,38079.8318175,38079,1269.3,1270.862343,38125.87029,38125,1270.8333333333333,2.1123851180891506,3,0,7,1,2,3,b'HB_3_frameB_foil.png',1272.9747281180892,38189.24184354267,38189,1272.9666666666667
17,1272.98388575,38189.5165725,38189,1272.9666666666667,1273.4503197499998,38203.50959249999,38203,1273.4333333333334,1274.984413,38249.53239,38249,1274.9666666666667,1.438213525529136,2,0,7,1,2,3,b'SB_9_frameA_foil.png',1276.422626525529,38292.678795765874,38292,1276.4
18,1276.4327389999999,38292.982169999996,38292,1276.4,1276.9326305,38307.978915,38307,1276.9,1278.46756575,38354.026972499996,38354,1278.4666666666667,0.9092757197213359,3,0,7,1,2,3,b'HB_1_frameA_foil.png',1279.3768414697213,38381.305244091636,38381,1279.3666666666666
19,1279.389035,38381.67105,38381,1279.3666666666666,1279.9722675,38399.168025,38399,1279.9666666666667,1281.50648125,38445.1944375,38445,1281.5,-2.452202852218761,1,0,7,1,2,3,b'NB_11_frameA_foil.png',1279.0542783977812,38371.62835193344,38371,1279.0333333333333
20,1279.07454525,38372.2363575,38372,1279.0666666666666,1279.67442725,38390.2328175,38390,1279.6666666666667,1281.209118,38436.27354,38436,1281.2,2.040126479114406,1,0,7,1,2,3,b'NB_3_frameA_foil.png',1283.2492444791144,38497.477334373434,38497,1283.2333333333333
21,1283.259121,38497.77363,38497,1283.2333333333333,1283.792348,38513.77044,38513,1283.7666666666667,1285.326767,38559.80301,38559,1285.3,-2.438259448565077,2,0,7,1,2,3,b'SB_2_frameB_foil.png',1282.888507551435,38486.65522654305,38486,1282.8666666666666
22,1282.906878,38487.20634,38487,1282.9,1283.4067639999998,38502.202919999996,38502,1283.4,1284.94163725,38548.2491175,38548,1284.9333333333334,4.565496230672579,3,1,3,2,2,2,b'HB_8_frameB.png',1289.5071334806726,38685.21400442018,38685,1289.5
23,1289.5229245,38685.687735,38685,1289.5,1290.0394932499999,38701.1847975,38701,1290.0333333333333,1291.573377,38747.20131,38747,1291.5666666666666,0.058627986669307575,2,0,6,1,2,2,b'SB_5_frameB_foil.png',1291.6320049866692,38748.960149600076,38748,1291.6
24,1291.63761725,38749.1285175,38749,1291.6333333333334,1292.104188,38763.12564,38763,1292.1,1293.63889225,38809.1667675,38809,1293.6333333333334,1.2335236012731912,2,0,6,1,2,2,b'SB_8_frameB_foil.png',1294.8724158512732,38846.172475538195,38846,1294.8666666666666
25,1294.8821759999998,38846.46528,38846,1294.8666666666666,1295.398745,38861.96235,38861,1295.3666666666666,1296.9334952499999,38908.0048575,38908,1296.9333333333334,0.46521516077336855,2,1,2,2,2,3,b'SB_3_frameA.png',1297.3987104107732,38921.9613123232,38921,1297.3666666666666
26,1297.41839125,38922.5517375,38922,1297.4,1297.9182544999999,38937.547634999995,38937,1297.9,1299.45234425,38983.5703275,38983,1299.4333333333334,0.34323292231420055,1,1,2,2,2,3,b'NB_6_frameA.png',1299.795577172314,38993.867315169424,38993,1299.7666666666667
27,1299.8151142499999,38994.4534275,38994,1299.8,1300.41499075,39012.4497225,39012,1300.4,1301.949889,39058.49667,39058,1301.9333333333334,0.0,3,0,1,0,1,0,b'HB_5_frameB_foil.png',1301.949889,39058.49667,39058,1301.9333333333334
28,1303.30682,39099.2046,39099,1303.3,1303.8900635,39116.701905,39116,1303.8666666666666,1305.4244915,39162.734744999994,39162,1305.4,-1.3041473084304016,1,1,2,2,2,3,b'NB_11_frameB.png',1304.1203441915695,39123.61032574708,39123,1304.1
29,1304.12867175,39123.8601525,39123,1304.1,1304.7285419999998,39141.85625999999,39141,1304.7,1306.2627297499998,39187.881892499994,39187,1306.2333333333333,-0.09639571243315004,2,0,6,1,2,2,b'SB_4_frameA_foil.png',1306.1663340375667,39184.990021127,39184,1306.1333333333334
30,1306.1815335,39185.446005,39185,1306.1666666666667,1306.71476225,39201.442867499994,39201,1306.7,1308.249624,39247.48872,39247,1308.2333333333333,0.0,3,1,1,0,1,0,b'HB_1_frameB.png',1308.249624,39247.48872,39247,1308.2333333333333
31,1309.0725,39272.175,39272,1309.0666666666666,1309.60572975,39288.171892499995,39288,1309.6,1311.140492,39334.21476,39334,1311.1333333333334,1.319839170188061,2,1,3,2,2,2,b'SB_1_frameB.png',1312.460331170188,39373.809935105644,39373,1312.4333333333334
32,1312.47197725,39374.1593175,39374,1312.4666666666667,1312.9718727499999,39389.156182499995,39389,1312.9666666666667,1314.50669475,39435.200842499995,39435,1314.5,0.0,2,1,1,0,1,0,b'SB_5_frameB.png',1314.50669475,39435.200842499995,39435,1314.5
33,1311.263336,39337.90008,39337,1311.2333333333333,1311.74657125,39352.3971375,39352,1311.7333333333333,1313.28126825,39398.4380475,39398,1313.2666666666667,-2.5159374172217213,2,1,3,2,2,2,b'SB_1_frameB.png',1310.7653308327783,39322.95992498335,39322,1310.7333333333333
34,1310.77760025,39323.3280075,39323,1310.7666666666667,1311.2775015,39338.325045,39338,1311.2666666666667,1312.8113205,39384.339615,39384,1312.8,0.7169916196726263,2,0,6,1,2,2,b'SB_2_frameA_foil.png',1313.5283121196726,39405.849363590176,39405,1313.5
35,1313.53516825,39406.0550475,39406,1313.5333333333333,1314.0684234999999,39422.052704999995,39422,1314.0666666666666,1315.6031615,39468.094845,39468,1315.6,6.373129568732111,1,0,6,1,2,2,b'NB_29_frameA_foil.png',1321.976291068732,39659.28873206196,39659,1321.9666666666667
36,1321.99273225,39659.7819675,39659,1321.9666666666667,1322.50929525,39675.2788575,39675,1322.5,1324.043733,39721.31199,39721,1324.0333333333333,0.0,2,0,1,0,1,0,b'SB_2_frameB_foil.png',1324.043733,39721.31199,39721,1324.0333333333333
37,1322.0986225,39662.958674999994,39662,1322.0666666666666,1322.68183,39680.4549,39680,1322.6666666666667,1324.21604775,39726.4814325,39726,1324.2,0.3335511805926217,3,1,2,2,2,3,b'HB_1_frameB.png',1324.5495989305925,39736.487967917776,39736,1324.5333333333333
38,1324.5539629999998,39736.61889,39736,1324.5333333333333,1325.0538745,39751.616234999994,39751,1325.0333333333333,1326.5881837499999,39797.6455125,39797,1326.5666666666666,0.5705819154827623,3,1,3,2,2,2,b'HB_2_frameA.png',1327.1587656654826,39814.76296996448,39814,1327.1333333333334
39,1327.17777325,39815.3331975,39815,1327.1666666666667,1327.7110005,39831.330015,39831,1327.7,1329.24527975,39877.3583925,39877,1329.2333333333333,3.535535933668143,1,1,3,2,2,2,b'NB_14_frameA.png',1332.7808156836682,39983.42447051004,39983,1332.7666666666667
40,1332.7943652499998,39983.830957499995,39983,1332.7666666666667,1333.31092575,39999.3277725,39999,1333.3,1334.84523,40045.3569,40045,1334.8333333333333,2.5108738401322626,1,0,6,1,2,2,b'NB_18_frameB_foil.png',1337.3561038401322,40120.68311520397,40120,1337.3333333333333
41,1337.3685375,40121.056125,40121,1337.3666666666666,1337.8851009999998,40136.553029999995,40136,1337.8666666666666,1339.420124,40182.60372,40182,1339.4,1.2127328012720682,3,1,3,2,2,2,b'HB_1_frameB.png',1340.632856801272,40218.98570403816,40218,1340.6
42,1340.644902,40219.34706,40219,1340.6333333333334,1341.211468,40236.344039999996,40236,1341.2,1342.746113,40282.383389999995,40282,1342.7333333333333,0.05272372715990059,2,1,3,2,2,2,b'SB_1_frameB.png',1342.7988367271598,40283.96510181479,40283,1342.7666666666667
43,1342.81397625,40284.4192875,40284,1342.8,1343.33054425,40299.9163275,40299,1343.3,1344.8648497499998,40345.945492499995,40345,1344.8333333333333,0.25273824682517443,2,1,3,2,2,2,b'SB_4_frameB.png',1345.117587996825,40353.52763990475,40353,1345.1
44,1345.1242352499999,40353.72705749999,40353,1345.1,1345.69078275,40370.7234825,40370,1345.6666666666667,1347.22502325,40416.7506975,40416,1347.2,0.5248255150654586,2,1,2,2,2,3,b'SB_2_frameA.png',1347.7498487650655,40432.49546295196,40432,1347.7333333333333
45,1347.7624147499998,40432.8724425,40432,1347.7333333333333,1348.2456515,40447.369544999994,40447,1348.2333333333333,1349.7803095,40493.409285,40493,1349.7666666666667,0.0,2,0,1,0,1,0,b'SB_7_frameB_foil.png',1349.7803095,40493.409285,40493,1349.7666666666667
46,1351.4012415,40542.037245,40542,1351.4,1351.95113625,40558.5340875,40558,1351.9333333333334,1353.484927,40604.54781,40604,1353.4666666666667,1.1045886246138252,1,1,3,2,2,2,b'NB_13_frameB.png',1354.5895156246138,40637.68546873841,40637,1354.5666666666666
47,1354.59370875,40637.8112625,40637,1354.5666666666666,1355.14360775,40654.3082325,40654,1355.1333333333334,1356.6780185,40700.340555,40700,1356.6666666666667,0.8303022404143121,1,1,3,2,2,2,b'NB_20_frameA.png',1357.5083207404143,40725.24962221243,40725,1357.5
48,1357.5132125,40725.396375,40725,1357.5,1357.96313225,40738.8939675,40738,1357.9333333333334,1359.49764975,40784.9294925,40784,1359.4666666666667,1.2437244133616332,2,0,7,1,2,3,b'SB_1_frameB_foil.png',1360.7413741633616,40822.24122490085,40822,1360.7333333333333
49,1360.75332925,40822.5998775,40822,1360.7333333333333,1361.3032234999998,40839.096704999996,40839,1361.3,1362.8377767499999,40885.1333025,40885,1362.8333333333333,-2.6139636347215855,3,1,3,2,2,2,b'HB_2_frameA.png',1360.2238131152783,40806.71439345835,40806,1360.2
50,1360.24545,40807.3635,40807,1360.2333333333333,1360.76202025,40822.8606075,40822,1360.7333333333333,1362.2966055,40868.898165,40868,1362.2666666666667,3.159649317516596,3,1,3,2,2,2,b'HB_4_frameB.png',1365.4562548175165,40963.6876445255,40963,1365.4333333333334
51,1365.47484025,40964.2452075,40964,1365.4666666666667,1365.9913972499999,40979.741917499996,40979,1365.9666666666667,1367.5252495,41025.757485,41025,1367.5,5.719808833120624,1,0,6,1,2,2,b'NB_19_frameA_foil.png',1373.2450583331206,41197.35174999362,41197,1373.2333333333333
52,1373.2507185,41197.521555,41197,1373.2333333333333,1373.7839474999998,41213.518424999995,41213,1373.7666666666667,1375.31777775,41259.5333325,41259,1375.3,1.109605481979088,3,0,6,1,2,2,b'HB_1_frameB_foil.png',1376.427383231979,41292.821496959376,41292,1376.4
53,1376.4382947499998,41293.1488425,41293,1376.4333333333334,1376.95485775,41308.6457325,41308,1376.9333333333334,1378.489486,41354.68458,41354,1378.4666666666667,-0.8846216603124049,1,0,7,1,2,3,b'NB_21_frameA_foil.png',1377.6048643396875,41328.14593019063,41328,1377.6
54,1377.62418975,41328.7256925,41328,1377.6,1378.15742525,41344.7227575,41344,1378.1333333333334,1379.6921645,41390.764935,41390,1379.6666666666667,2.9583961819444085,1,0,7,1,2,3,b'NB_27_frameA_foil.png',1382.6505606819444,41479.51682045833,41479,1382.6333333333334
