trial_num,fixcross_time,fixation_HZ,fixation_bin,fixation_regarded,start_time,Fstart_HZ,Fstart_bin,Fstart_regarded,stop_time,Fstop_HZ,Fstop_bin,Fstop_regarded,RT,boundary_type,key,resp_value,leftright,accuracy,confidence,frameName,response_time,response_HZ,response_bin,response_regarded
1,2067.745174,62032.355220000005,62032,2067.733333333333,2068.32839075,62049.851722499996,62049,2068.3,2070.3630915,62110.892745,62110,2070.3333333333335,3.1404428993046167,2,1,2,1,2.0,3.0,b'SB_10_LongA.png',2073.5035343993045,62205.106031979136,62205,2073.5
2,2073.52468,62205.7404,62205,2073.5,2074.04123625,62221.237087500005,62221,2074.0333333333333,2076.074842,62282.245259999996,62282,2076.0666666666666,2.4526963827447616,1,1,6,2,1.0,2.0,b'NB_22_LongA.png',2078.5275383827448,62355.82615148234,62355,2078.5
3,2078.5437724999997,62356.31317499999,62356,2078.5333333333333,2079.110315,62373.30945,62373,2079.1,2081.14430675,62434.3292025,62434,2081.133333333333,1.5514889466576278,3,1,6,2,1.0,2.0,b'HB_18_LongA.png',2082.6957956966576,62480.873870899726,62480,2082.6666666666665
4,2082.7082585,62481.247755,62481,2082.7,2083.1914859999997,62495.74457999999,62495,2083.1666666666665,2085.22526925,62556.7580775,62556,2085.2,0.0,2,2,1,1,1.0,0.0,b'SB_43_LongA.png',2085.22526925,62556.7580775,62556,2085.2
5,2085.4468377499998,62563.40513249999,62563,2085.4333333333334,2086.06338525,62581.9015575,62581,2086.0333333333333,2088.0980394999997,62642.94118499999,62642,2088.0666666666666,2.0583662850040128,2,2,7,2,2.0,3.0,b'SB_3_LongA.png',2090.1564057850037,62704.69217355011,62704,2090.133333333333
6,2090.1618559999997,62704.85567999999,62704,2090.133333333333,2090.761719,62722.85157,62722,2090.733333333333,2092.795206,62783.856179999995,62783,2092.766666666667,1.6931276914838236,2,1,2,1,2.0,3.0,b'SB_41_ShortA.png',2094.4883336914836,62834.65001074451,62834,2094.4666666666667
7,2094.5039294999997,62835.11788499999,62835,2094.5,2095.05381825,62851.6145475,62851,2095.0333333333333,2097.0886972499998,62912.66091749999,62912,2097.0666666666666,2.2929865872574737,1,2,2,1,1.0,3.0,b'NB_16_LongA.png',2099.3816838372572,62981.450515117715,62981,2099.366666666667
8,2099.3971537499997,62981.91461249999,62981,2099.366666666667,2099.98036775,62999.4110325,62999,2099.9666666666667,2102.01406,63060.4218,63060,2102.0,1.7628643271673354,1,1,2,1,2.0,3.0,b'NB_22_ShortA.png',2103.7769243271673,63113.30772981502,63113,2103.766666666667
9,2103.7917185,63113.751555,63113,2103.766666666667,2104.2916247499998,63128.74874249999,63128,2104.266666666667,2106.32494425,63189.7483275,63189,2106.3,1.7452536551936646,3,2,6,2,2.0,2.0,b'HB_33_LongA.png',2108.0701979051937,63242.10593715581,63242,2108.0666666666666
10,2108.077077,63242.312309999994,63242,2108.0666666666666,2108.59363425,63257.8090275,63257,2108.5666666666666,2110.6271512499998,63318.814537499995,63318,2110.6,0.0,3,2,1,1,1.0,0.0,b'HB_24_LongA.png',2110.6271512499998,63318.814537499995,63318,2110.6
11,2114.32304075,63429.6912225,63429,2114.3,2114.8562644999997,63445.687934999994,63445,2114.8333333333335,2116.8899535,63506.698605,63506,2116.866666666667,4.7002887702401495,3,2,6,2,2.0,2.0,b'HB_38_LongA.png',2121.59024227024,63647.7072681072,63647,2121.5666666666666
12,2121.6048837499998,63648.146512499996,63648,2121.6,2122.07146475,63662.1439425,63662,2122.0666666666666,2124.105019,63723.150570000005,63723,2124.1,1.1409409903208143,1,1,3,1,2.0,2.0,b'NB_26_ShortA.png',2125.245959990321,63757.37879970963,63757,2125.233333333333
13,2125.25643425,63757.6930275,63757,2125.233333333333,2125.87296225,63776.1888675,63776,2125.866666666667,2127.90631175,63837.1893525,63837,2127.9,1.028473821876105,2,2,7,2,2.0,3.0,b'SB_27_LongA.png',2128.934785571876,63868.04356715628,63868,2128.9333333333334
14,2128.938732,63868.161960000005,63868,2128.9333333333334,2129.52194275,63885.6582825,63885,2129.5,2131.55545475,63946.6636425,63946,2131.5333333333333,1.8729204893024871,2,1,2,1,2.0,3.0,b'SB_52_ShortA.png',2133.4283752393026,64002.85125717908,64002,2133.4
15,2133.440681,64003.22043,64003,2133.4333333333334,2133.97391325,64019.2173975,64019,2133.9666666666667,2136.00743975,64080.223192499994,64080,2136.0,3.5917010895718704,3,2,3,1,1.0,2.0,b'HB_41_LongA.png',2139.5991408395716,64187.97422518715,64187,2139.5666666666666
16,2139.61156,64188.34679999999,64188,2139.6,2140.21142525,64206.3427575,64206,2140.2,2142.24504625,64267.351387500006,64267,2142.233333333333,0.11584799375123112,1,1,2,1,2.0,3.0,b'NB_21_LongA.png',2142.3608942437513,64270.82682731254,64270,2142.3333333333335
17,2142.376749,64271.30247,64271,2142.366666666667,2142.94329525,64288.298857500005,64288,2142.9333333333334,2144.9770075,64349.310225,64349,2144.9666666666667,4.5860469053077395,3,1,6,2,1.0,2.0,b'HB_8_LongA.png',2149.563054405308,64486.89163215923,64486,2149.5333333333333
18,2149.58052225,64487.4156675,64487,2149.5666666666666,2150.080419,64502.41257,64502,2150.0666666666666,2152.113847,64563.41541,64563,2152.1,1.3562198612635257,2,2,7,2,2.0,3.0,b'SB_51_LongA.png',2153.4700668612636,64604.10200583791,64604,2153.4666666666667
19,2153.476264,64604.287919999995,64604,2153.4666666666667,2154.04280725,64621.2842175,64621,2154.0333333333333,2156.076647,64682.29940999999,64682,2156.0666666666666,0.3966000450964202,2,1,3,1,2.0,2.0,b'SB_17_ShortA.png',2156.4732470450963,64694.197411352885,64694,2156.4666666666667
