trial_num,fixcross_time,fixation_HZ,fixation_bin,fixation_regarded,start_time,Fstart_HZ,Fstart_bin,Fstart_regarded,stop_time,Fstop_HZ,Fstop_bin,Fstop_regarded,RT,boundary_type,key,resp_value,leftright,accuracy,confidence,frameName,response_time,response_HZ,response_bin,response_regarded
1,2267.94999625,68038.4998875,68038,2267.9333333333334,2268.4999374999998,68054.998125,68054,2268.4666666666667,2270.535175,68116.05525,68116,2270.5333333333333,0.0,2,2,1,1,1.0,0.0,b'SB_48_LongA.png',2270.535175,68116.05525,68116,2270.5333333333333
2,2273.4517229999997,68203.55169,68203,2273.4333333333334,2274.034909,68221.04727,68221,2274.0333333333333,2276.0685965,68282.05789499999,68282,2276.0666666666666,1.8583238427527249,2,2,3,1,1.0,2.0,b'SB_12_ShortA.png',2277.9269203427525,68337.80761028257,68337,2277.9
3,2277.9360297499998,68338.08089249999,68338,2277.9333333333334,2278.5192672499998,68355.5780175,68355,2278.5,2280.5528154999997,68416.58446499999,68416,2280.5333333333333,0.0,3,2,1,1,1.0,0.0,b'HB_12_LongA.png',2280.5528154999997,68416.58446499999,68416,2280.5333333333333
4,2284.739192,68542.17576,68542,2284.733333333333,2285.2223925,68556.671775,68556,2285.2,2287.2561115,68617.683345,68617,2287.233333333333,1.6554475351586007,3,2,3,1,1.0,2.0,b'HB_17_ShortA.png',2288.9115590351585,68667.34677105476,68667,2288.9
5,2288.92380225,68667.7140675,68667,2288.9,2289.40710775,68682.2132325,68682,2289.4,2291.440607,68743.21821,68743,2291.4333333333334,3.9322243611095473,3,2,3,1,1.0,2.0,b'HB_42_LongA.png',2295.3728313611095,68861.1849408333,68861,2295.366666666667
6,2295.377707,68861.33121,68861,2295.366666666667,2295.927714,68877.83142,68877,2295.9,2297.9618084999997,68938.854255,68938,2297.9333333333334,3.731424247205723,3,1,6,2,1.0,2.0,b'HB_22_ShortA.png',2301.6932327472055,69050.79698241617,69050,2301.6666666666665
7,2301.7059692499997,69051.1790775,69051,2301.7,2302.1892205,69065.676615,69065,2302.1666666666665,2304.22286325,69126.6858975,69126,2304.2,2.4315474123577587,1,1,6,2,1.0,2.0,b'NB_17_LongA.png',2306.654410662358,69199.63231987074,69199,2306.633333333333
8,2306.668893,69200.06679,69200,2306.6666666666665,2307.23542575,69217.06277250001,69217,2307.233333333333,2309.26897875,69278.0693625,69278,2309.266666666667,1.9440758915734477,3,1,6,2,1.0,2.0,b'HB_7_LongA.png',2311.2130546415733,69336.3916392472,69336,2311.2
9,2311.2169584999997,69336.50875499999,69336,2311.2,2311.8001947499997,69354.00584249999,69354,2311.8,2313.83387575,69415.0162725,69415,2313.8333333333335,2.3214446227648295,2,1,6,2,1.0,2.0,b'SB_1_ShortA.png',2316.155320372765,69484.65961118294,69484,2316.133333333333
10,2316.16240875,69484.8722625,69484,2316.133333333333,2316.6622859999998,69499.86858,69499,2316.633333333333,2318.69596475,69560.8789425,69560,2318.6666666666665,1.391134120465722,3,2,3,1,1.0,2.0,b'HB_13_ShortA.png',2320.0870988704655,69602.61296611397,69602,2320.0666666666666
11,2320.09549425,69602.86482749999,69602,2320.0666666666666,2320.67869325,69620.3607975,69620,2320.6666666666665,2322.7122815,69681.368445,69681,2322.7,2.130926092446316,3,1,6,2,1.0,2.0,b'HB_57_ShortA.png',2324.843207592446,69745.29622777339,69745,2324.8333333333335
12,2324.84838025,69745.4514075,69745,2324.8333333333335,2325.38167775,69761.4503325,69761,2325.366666666667,2327.415336,69822.46008,69822,2327.4,2.263957356568426,3,1,6,2,1.0,2.0,b'HB_19_LongA.png',2329.6792933565685,69890.37880069706,69890,2329.6666666666665
13,2329.68394775,69890.51843249999,69890,2329.6666666666665,2330.28386225,69908.5158675,69908,2330.266666666667,2332.3175539999997,69969.52661999999,69969,2332.3,-0.33089678012765944,1,1,6,2,1.0,2.0,b'NB_14_LongA.png',2331.986657219872,69959.59971659616,69959,2331.9666666666667
14,2332.00514275,69960.15428249999,69960,2332.0,2332.50497925,69975.1493775,69975,2332.5,2334.5387259999998,70036.16178,70036,2334.5333333333333,2.7266972705256194,3,1,6,2,1.0,2.0,b'HB_40_ShortA.png',2337.2654232705254,70117.96269811576,70117,2337.233333333333
15,2337.2685585,70118.056755,70118,2337.266666666667,2337.81849375,70134.5548125,70134,2337.8,2339.85213175,70195.5639525,70195,2339.8333333333335,0.7077474865945987,2,1,6,2,1.0,2.0,b'SB_54_LongA.png',2340.5598792365945,70216.79637709784,70216,2340.5333333333333
16,2340.56630375,70216.9891125,70216,2340.5333333333333,2341.1163067499997,70233.48920249999,70233,2341.1,2343.15001525,70294.50045749999,70294,2343.133333333333,1.5384485752438195,2,1,6,2,1.0,2.0,b'SB_24_ShortA.png',2344.6884638252436,70340.6539147573,70340,2344.6666666666665
17,2344.7038325,70341.11497499999,70341,2344.7,2345.2204455,70356.613365,70356,2345.2,2347.25423025,70417.6269075,70417,2347.233333333333,2.6491467747837305,2,2,3,1,1.0,2.0,b'SB_35_LongA.png',2349.903377024784,70497.10131074351,70497,2349.9
18,2349.9120077499997,70497.3602325,70497,2349.9,2350.44531125,70513.3593375,70513,2350.4333333333334,2352.4790399999997,70574.3712,70574,2352.4666666666667,2.1854587080306374,3,1,6,2,1.0,2.0,b'HB_60_LongA.png',2354.6644987080304,70639.93496124091,70639,2354.633333333333
19,2354.6714435,70640.14330499999,70640,2354.6666666666665,2355.2547207499997,70657.64162249998,70657,2355.233333333333,2357.2884265,70718.65279499999,70718,2357.266666666667,3.1425323607982136,3,1,6,2,1.0,2.0,b'HB_1_ShortA.png',2360.430958860798,70812.92876582393,70812,2360.4
20,2360.44071875,70813.2215625,70813,2360.4333333333334,2360.94066325,70828.21989749999,70828,2360.9333333333334,2362.97424425,70889.2273275,70889,2362.9666666666667,0.6517445100471377,1,2,3,1,1.0,2.0,b'NB_10_ShortA.png',2363.625988760047,70908.77966280142,70908,2363.6
21,2363.63145125,70908.94353749999,70908,2363.6,2364.16472875,70924.9418625,70924,2364.133333333333,2366.1983247499998,70985.94974249999,70985,2366.1666666666665,1.0863609472871758,3,2,3,1,1.0,2.0,b'HB_36_ShortA.png',2367.284685697287,71018.5405709186,71018,2367.266666666667
22,2367.29381725,71018.8145175,71018,2367.266666666667,2367.89371125,71036.8113375,71036,2367.866666666667,2369.9274004999997,71097.822015,71097,2369.9,3.1846973983338103,1,1,6,2,1.0,2.0,b'NB_5_ShortA.png',2373.1120978983336,71193.36293695001,71193,2373.1
23,2373.1194615,71193.583845,71193,2373.1,2373.6359614999997,71209.078845,71209,2373.633333333333,2375.6695744999997,71270.08723499998,71270,2375.6666666666665,0.7169534438289702,2,2,3,1,1.0,2.0,b'SB_17_ShortA.png',2376.3865279438287,71291.59583831485,71291,2376.366666666667
24,2376.3996347499997,71291.98904249999,71291,2376.366666666667,2376.93281825,71307.98454749999,71307,2376.9,2378.96639375,71368.9918125,71368,2378.9333333333334,2.3808007939951494,3,2,3,1,1.0,2.0,b'HB_6_LongA.png',2381.347194543995,71440.41583631985,71440,2381.3333333333335
25,2381.3602232499998,71440.8066975,71440,2381.3333333333335,2381.86007075,71455.8021225,71455,2381.8333333333335,2383.89367525,71516.8102575,71516,2383.866666666667,2.035375892824959,2,2,3,1,1.0,2.0,b'SB_21_ShortA.png',2385.929051142825,71577.87153428474,71577,2385.9
