trial_num,fixcross_time,fixation_HZ,fixation_bin,fixation_regarded,start_time,Fstart_HZ,Fstart_bin,Fstart_regarded,stop_time,Fstop_HZ,Fstop_bin,Fstop_regarded,RT,boundary_type,key,resp_value,leftright,accuracy,confidence,frameName,response_time,response_HZ,response_bin,response_regarded
1,2047.7658267499999,61432.97480249999,61432,2047.7333333333333,2048.2991752499997,61448.975257499995,61448,2048.266666666667,2050.3342132499997,61510.02639749999,61510,2050.3333333333335,2.110145954073232,1,2,6,2,2.0,2.0,b'NB_3_LongA.png',2052.444359204073,61573.33077612219,61573,2052.4333333333334
2,2052.45633175,61573.689952500004,61573,2052.4333333333334,2053.03953425,61591.1860275,61591,2053.0333333333333,2055.07318675,61652.195602499996,61652,2055.0666666666666,1.4771376628923463,1,2,7,2,2.0,3.0,b'NB_4_ShortA.png',2056.550324412892,61696.50973238677,61696,2056.5333333333333
3,2056.55687375,61696.706212499994,61696,2056.5333333333333,2057.09017225,61712.7051675,61712,2057.0666666666666,2059.12378025,61773.7134075,61773,2059.1,2.5523667563757044,3,1,4,1,2.0,1.0,b'HB_38_LongA.png',2061.6761470063757,61850.28441019127,61850,2061.6666666666665
4,2061.6858705,61850.576114999996,61850,2061.6666666666665,2062.26913775,61868.0741325,61868,2062.266666666667,2064.3026409999998,61929.079229999996,61929,2064.3,-1.1230247920684633,2,1,3,1,2.0,2.0,b'SB_8_LongA.png',2063.1796162079313,61895.38848623794,61895,2063.1666666666665
5,2063.1935439999997,61895.80631999999,61895,2063.1666666666665,2063.710205,61911.30615,61911,2063.7,2065.74374925,61972.312477499996,61972,2065.733333333333,1.1070056630924228,3,1,4,1,2.0,1.0,b'HB_29_LongA.png',2066.8507549130923,62005.52264739277,62005,2066.8333333333335
6,2066.85615775,62005.6847325,62005,2066.8333333333335,2067.372659,62021.17977,62021,2067.366666666667,2069.40611575,62082.1834725,62082,2069.4,1.4226251286454499,1,2,7,2,2.0,3.0,b'NB_30_LongA.png',2070.8287408786455,62124.862226359364,62124,2070.8
7,2070.835861,62125.07583,62125,2070.8333333333335,2071.3358184999997,62140.07455499999,62140,2071.3333333333335,2073.36938125,62201.081437500005,62201,2073.366666666667,1.304319207862136,1,2,6,2,2.0,2.0,b'NB_18_ShortA.png',2074.673700457862,62240.21101373587,62240,2074.6666666666665
8,2074.68931775,62240.679532500006,62240,2074.6666666666665,2075.20595425,62256.178627500005,62256,2075.2,2077.2394335,62317.183005,62317,2077.233333333333,0.6731439741342911,2,2,7,2,2.0,3.0,b'SB_28_ShortA.png',2077.912577474134,62337.37732422403,62337,2077.9
9,2077.9269245,62337.807735,62337,2077.9,2078.42680475,62352.8041425,62352,2078.4,2080.4602145,62413.806435,62413,2080.4333333333334,1.160070328078291,1,2,6,2,2.0,2.0,b'NB_17_ShortA.png',2081.620284828078,62448.60854484235,62448,2081.6
10,2081.6297302499997,62448.891907499994,62448,2081.6,2082.1963232499998,62465.889697499995,62465,2082.1666666666665,2084.22980925,62526.8942775,62526,2084.2,1.4223805649380665,1,1,2,1,2.0,3.0,b'NB_14_ShortA.png',2085.652189814938,62569.565694448145,62569,2085.633333333333
