trial_num,fixcross_time,fixation_HZ,fixation_bin,fixation_regarded,start_time,Fstart_HZ,Fstart_bin,Fstart_regarded,stop_time,Fstop_HZ,Fstop_bin,Fstop_regarded,RT,boundary_type,stimuli_type,resp_value,old_new,accuracy,confidence,frameName,response_time,response_HZ,response_bin,response_regarded
1,1128.1839505,33845.518515,33845,1128.1666666666667,1128.70583975,33861.1751925,33861,1128.7,1130.2606389999999,33907.819169999995,33907,1130.2333333333333,1.266096959136803,1,1,2,2,2,3,b'NB_11_frameB.png',1131.5267359591367,33945.8020787741,33945,1131.5
2,1131.556576,33946.69728,33946,1131.5333333333333,1132.13876975,33964.1630925,33964,1132.1333333333334,1133.66653675,34009.9961025,34009,1133.6333333333334,1.0151791690138907,2,0,6,1,2,2,b'SB_6_frameA_foil.png',1134.6817159190139,34040.451477570416,34040,1134.6666666666667
3,1134.7078944999998,34041.236834999996,34041,1134.7,1135.2296615,34056.889845,34056,1135.2,1136.75746475,34102.7239425,34102,1136.7333333333333,1.557136476516007,3,1,2,2,2,3,b'HB_2_frameB.png',1138.314601226516,34149.43803679548,34149,1138.3
4,1138.3319152499998,34149.95745749999,34149,1138.3,1138.8538577499999,34165.615732499995,34165,1138.8333333333333,1140.38246975,34211.4740925,34211,1140.3666666666666,2.8812874624284177,3,1,2,2,2,3,b'HB_3_frameA.png',1143.2637572124283,34297.91271637285,34297,1143.2333333333333
5,1143.277253,34298.31759,34298,1143.2666666666667,1143.7993307499999,34313.979922499995,34313,1143.7666666666667,1145.34988125,34360.4964375,34360,1145.3333333333333,-0.384088294972571,2,1,3,2,2,2,b'SB_4_frameB.png',1144.9657929550274,34348.97378865082,34348,1144.9333333333334
6,1144.98246275,34349.4738825,34349,1144.9666666666667,1145.56441275,34366.9323825,34366,1145.5333333333333,1147.1117785,34413.353355,34413,1147.1,1.3140444379864675,2,1,3,2,2,2,b'SB_5_frameA.png',1148.4258229379864,34452.774688139594,34452,1148.4
7,1148.44307275,34453.2921825,34453,1148.4333333333334,1148.96482775,34468.9448325,34468,1148.9333333333334,1150.49265175,34514.779552500004,34514,1150.4666666666667,1.753599020850288,3,0,7,1,2,3,b'HB_8_frameA_foil.png',1152.2462507708503,34567.38752312551,34567,1152.2333333333333
8,1152.2682264999999,34568.046794999995,34568,1152.2666666666667,1152.85031975,34585.5095925,34585,1152.8333333333333,1154.377456,34631.32368,34631,1154.3666666666666,2.6229694620715236,1,0,7,1,2,3,b'NB_10_frameB_foil.png',1157.0004254620715,34710.01276386214,34710,1157.0
9,1157.02305375,34710.6916125,34710,1157.0,1157.6051605,34728.154815,34728,1157.6,1159.1521725,34774.565175,34774,1159.1333333333334,0.25464780007223453,2,0,6,1,2,2,b'SB_7_frameB_foil.png',1159.4068203000722,34782.20460900217,34782,1159.4
10,1159.41735125,34782.5205375,34782,1159.4,1159.95942775,34798.7828325,34798,1159.9333333333334,1161.4866084999999,34844.598255,34844,1161.4666666666667,1.6830702867996479,1,0,7,1,2,3,b'NB_7_frameA_foil.png',1163.1696787867995,34895.09036360399,34895,1163.1666666666667
11,1163.19352125,34895.8056375,34895,1163.1666666666667,1163.79576,34913.8728,34913,1163.7666666666667,1165.3429285,34960.287855,34960,1165.3333333333333,1.4615969668354865,3,1,2,2,2,3,b'HB_4_frameA.png',1166.8045254668355,35004.13576400506,35004,1166.8
12,1166.8144439999999,35004.43332,35004,1166.8,1167.35641325,35020.6923975,35020,1167.3333333333333,1168.8837939999999,35066.51381999999,35066,1168.8666666666666,4.133275918566824,1,0,7,1,2,3,b'NB_25_frameA_foil.png',1173.0170699185667,35190.512097557,35190,1173.0
13,1173.03709775,35191.1129325,35191,1173.0333333333333,1173.61885375,35208.5656125,35208,1173.6,1175.1666129999999,35254.99838999999,35254,1175.1333333333334,1.9084825758291117,3,1,2,2,2,3,b'HB_3_frameA.png',1177.075095575829,35312.25286727487,35312,1177.0666666666666
14,1177.0845474999999,35312.536425,35312,1177.0666666666666,1177.586226,35327.58678,35327,1177.5666666666666,1179.13340675,35374.0022025,35374,1179.1333333333334,0.36002612486936414,3,0,7,1,2,3,b'HB_6_frameB_foil.png',1179.4934328748693,35384.80298624608,35384,1179.4666666666667
15,1179.51484425,35385.4453275,35385,1179.5,1180.09681575,35402.9044725,35402,1180.0666666666666,1181.64413075,35449.3239225,35449,1181.6333333333334,2.104880367731994,2,0,6,1,2,2,b'SB_3_frameB_foil.png',1183.749011117732,35512.47033353196,35512,1183.7333333333333
16,1183.76851725,35513.055517500004,35513,1183.7666666666667,1184.2900889999999,35528.70267,35528,1184.2666666666667,1185.83749275,35575.124782499995,35575,1185.8333333333333,0.0023013070258457446,1,0,7,1,2,3,b'NB_4_frameB_foil.png',1185.8397940570258,35575.193821710775,35575,1185.8333333333333
17,1185.8631735,35575.89520499999,35575,1185.8333333333333,1186.425043,35592.75129,35592,1186.4,1187.9522565,35638.567695,35638,1187.9333333333334,1.063808147701593,3,0,7,1,2,3,b'HB_7_frameB_foil.png',1189.0160646477016,35670.48193943105,35670,1189.0
18,1189.0245375,35670.736124999996,35670,1189.0,1189.6266295,35688.798885000004,35688,1189.6,1191.1540575,35734.621725,35734,1191.1333333333334,-0.2554977414249606,1,1,3,2,2,2,b'NB_6_frameA.png',1190.898559758575,35726.95679275725,35726,1190.8666666666666
19,1190.9109205,35727.327615,35727,1190.9,1191.45291125,35743.5873375,35743,1191.4333333333334,1193.000884,35790.02652,35790,1193.0,0.30667912490935123,1,0,7,1,2,3,b'NB_14_frameB_foil.png',1193.3075631249094,35799.22689374728,35799,1193.3
20,1193.3232062499999,35799.6961875,35799,1193.3,1193.90514175,35817.1542525,35817,1193.9,1195.432249,35862.967469999996,35862,1195.4,0.8525329178721677,2,1,4,2,2,1,b'SB_2_frameA.png',1196.2847819178721,35888.543457536165,35888,1196.2666666666667
21,1196.2951484999999,35888.85445499999,35888,1196.2666666666667,1196.85706575,35905.7119725,35905,1196.8333333333333,1198.3842654999999,35951.527964999994,35951,1198.3666666666666,1.8867102259464446,3,0,7,1,2,3,b'HB_2_frameB_foil.png',1200.2709757259463,36008.12927177839,36008,1200.2666666666667
22,1200.27946225,36008.3838675,36008,1200.2666666666667,1200.8814955,36026.444865,36026,1200.8666666666666,1202.428653,36072.85959,36072,1202.4,1.6677341761194384,2,0,6,1,2,2,b'SB_4_frameA_foil.png',1204.0963871761194,36122.89161528358,36122,1204.0666666666666
23,1204.10249575,36123.074872499994,36123,1204.1,1204.70475425,36141.1426275,36141,1204.7,1206.23192525,36186.9577575,36186,1206.2,0.4759284881010899,2,0,6,1,2,2,b'SB_4_frameB_foil.png',1206.707853738101,36201.23561214303,36201,1206.7
24,1206.7252799999999,36201.7584,36201,1206.7,1207.28734725,36218.6204175,36218,1207.2666666666667,1208.8345427499999,36265.0362825,36265,1208.8333333333333,1.8751646709538363,1,0,7,1,2,3,b'NB_23_frameA_foil.png',1210.7097074209537,36321.29122262861,36321,1210.7
25,1210.7332625,36321.997875,36321,1210.7,1211.2750879999999,36338.25264,36338,1211.2666666666667,1212.82217075,36384.665122499995,36384,1212.8,1.26425088557653,3,1,3,2,2,2,b'HB_1_frameA.png',1214.0864216355765,36422.592649067294,36422,1214.0666666666666
26,1214.10257525,36423.0772575,36423,1214.1,1214.6643307499999,36439.9299225,36439,1214.6333333333334,1216.1917015,36485.751045,36485,1216.1666666666667,-0.5795083194832387,3,0,7,1,2,3,b'HB_9_frameB_foil.png',1215.6121931805167,36468.3657954155,36468,1215.6
27,1215.620608,36468.618239999996,36468,1215.6,1216.12232125,36483.669637499996,36483,1216.1,1217.66957075,36530.0871225,36530,1217.6666666666667,3.5958732728070117,2,0,6,1,2,2,b'SB_1_frameB_foil.png',1221.265444022807,36637.96332068421,36637,1221.2333333333333
28,1221.2745645,36638.236935,36638,1221.2666666666667,1221.7961464999998,36653.884394999994,36653,1221.7666666666667,1223.3234085,36699.702255,36699,1223.3,1.6181646707450454,1,1,2,2,2,3,b'NB_14_frameA.png',1224.941573170745,36748.24719512235,36748,1224.9333333333334
29,1224.9527305,36748.581914999995,36748,1224.9333333333334,1225.514827,36765.44481,36765,1225.5,1227.061985,36811.85955,36811,1227.0333333333333,1.690252221094397,2,1,3,2,2,2,b'SB_4_frameB.png',1228.7522372210944,36862.56711663283,36862,1228.7333333333333
30,1228.7672069999999,36863.016209999994,36863,1228.7666666666667,1229.329248,36879.87744,36879,1229.3,1230.85639125,36925.6917375,36925,1230.8333333333333,1.2710188022585953,2,0,6,1,2,2,b'SB_3_frameB_foil.png',1232.1274100522585,36963.82230156776,36963,1232.1
31,1232.1360445,36964.081335,36964,1232.1333333333334,1232.6980892499998,36980.942677499996,36980,1232.6666666666667,1234.2452847499999,37027.3585425,37027,1234.2333333333333,0.058088609001288205,2,1,3,2,2,2,b'SB_1_frameB.png',1234.3033733590012,37029.101200770034,37029,1234.3
32,1234.3150732499998,37029.452197499995,37029,1234.3,1234.8166267499998,37044.4988025,37044,1234.8,1236.34397275,37090.319182499996,37090,1236.3333333333333,2.079972609054721,3,1,3,2,2,2,b'HB_1_frameB.png',1238.4239453590546,37152.718360771636,37152,1238.4
33,1238.4454965,37153.364895,37153,1238.4333333333334,1238.94735475,37168.4206425,37168,1238.9333333333334,1240.49452475,37214.8357425,37214,1240.4666666666667,1.9840748195092601,2,0,6,1,2,2,b'SB_6_frameA_foil.png',1242.4785995695092,37274.35798708528,37274,1242.4666666666667
34,1242.48769075,37274.6307225,37274,1242.4666666666667,1243.049346,37291.48038,37291,1243.0333333333333,1244.5767945,37337.303835,37337,1244.5666666666666,1.3832159164612676,1,0,7,1,2,3,b'NB_9_frameA_foil.png',1245.9600104164613,37378.80031249384,37378,1245.9333333333334
35,1245.96657425,37378.9972275,37378,1245.9333333333334,1246.5287632499999,37395.862897499996,37395,1246.5,1248.056077,37441.68231,37441,1248.0333333333333,2.9158782530555527,1,1,2,2,2,3,b'NB_10_frameA.png',1250.9719552530555,37529.158657591666,37529,1250.9666666666667
36,1250.9818315,37529.454945,37529,1250.9666666666667,1251.543516,37546.305479999995,37546,1251.5333333333333,1253.0708865,37592.126594999994,37592,1253.0666666666666,0.2953929990553661,3,0,6,1,2,2,b'HB_7_frameA_foil.png',1253.3662794990553,37600.98838497166,37600,1253.3333333333333
37,1253.3809025,37601.427075,37601,1253.3666666666666,1253.9226285,37617.678855,37617,1253.9,1255.450176,37663.505280000005,37663,1255.4333333333334,1.4949620201246034,1,1,2,2,2,3,b'NB_21_frameB.png',1256.9451380201247,37708.35414060374,37708,1256.9333333333334
38,1256.9686374999999,37709.059125,37709,1256.9666666666667,1257.49031625,37724.7094875,37724,1257.4666666666667,1259.0577094999999,37771.731284999994,37771,1259.0333333333333,0.3855872198475936,3,0,5,1,2,1,b'HB_8_frameA_foil.png',1259.4432967198475,37783.29890159542,37783,1259.4333333333334
39,1259.456776,37783.70328,37783,1259.4333333333334,1259.9986635,37799.959905,37799,1259.9666666666667,1261.54609875,37846.3829625,37846,1261.5333333333333,1.826174143727485,3,0,6,1,2,2,b'HB_1_frameB_foil.png',1263.3722728937275,37901.168186811825,37901,1263.3666666666666
40,1263.3893054999999,37901.679164999994,37901,1263.3666666666666,1263.9311827499998,37917.9354825,37917,1263.9,1265.458647,37963.75941,37963,1265.4333333333334,1.2556777956713177,3,0,6,1,2,2,b'HB_1_frameA_foil.png',1266.7143247956712,38001.42974387014,38001,1266.7
41,1266.72494925,38001.7484775,38001,1266.7,1267.2267574999998,38016.802724999994,38016,1267.2,1268.7539705,38062.619114999994,38062,1268.7333333333333,0.32627307302982445,2,0,5,1,2,1,b'SB_9_frameA_foil.png',1269.0802435730297,38072.40730719089,38072,1269.0666666666666
42,1269.0896344999999,38072.689034999996,38072,1269.0666666666666,1269.6516394999999,38089.549184999996,38089,1269.6333333333334,1271.19886725,38135.966017499995,38135,1271.1666666666667,0.7979913535680225,3,1,2,2,2,3,b'HB_2_frameA.png',1271.996858603568,38159.90575810704,38159,1271.9666666666667
43,1272.0213795,38160.641384999995,38160,1272.0,1272.563408,38176.902239999996,38176,1272.5333333333333,1274.11056925,38223.3170775,38223,1274.1,0.11517389805771927,3,1,2,2,2,3,b'HB_7_frameA.png',1274.2257431480577,38226.77229444173,38226,1274.2
44,1274.23640375,38227.092112499995,38227,1274.2333333333333,1274.8185385,38244.556155,38244,1274.8,1276.3459867499998,38290.3796025,38290,1276.3333333333333,0.9320123334371146,3,1,2,2,2,3,b'HB_5_frameA.png',1277.277999083437,38318.339972503105,38318,1277.2666666666667
45,1277.2962915,38318.888745000004,38318,1277.2666666666667,1277.798083,38333.942489999994,38333,1277.7666666666667,1279.34537775,38380.3613325,38380,1279.3333333333333,2.367787312431801,1,0,7,1,2,3,b'NB_18_frameB_foil.png',1281.7131650624317,38451.39495187295,38451,1281.7
46,1281.7188105,38451.564315,38451,1281.7,1282.32083075,38469.6249225,38469,1282.3,1283.8680077499998,38516.040232499996,38516,1283.8666666666666,-0.4032939452154096,3,1,3,2,2,2,b'HB_3_frameB.png',1283.4647138047844,38503.94141414353,38503,1283.4333333333334
