id,fixcross_time,fixation_HZ,fixation_bin,fixation_regarded,start_time,Vstart_HZ,Vstart_bin,Vstart_regarded,stop_time,Vstop_HZ,Vstop_bin,Vstop_regarded,boundary1_time,boundary2_time,boundary3_time,stimCategory,Clip_name
0,0.0574815,1.724445,1,0.03333333333333333,1.0684702499999998,32.05410749999999,32,1.0666666666666667,9.0157665,270.47299499999997,270,9.0,5.06847025,3.4278755,1.0684702499999998,2,b'HB_2.mp4'
1,9.030707999999999,270.92123999999995,270,9.0,10.0611555,301.834665,301,10.033333333333333,18.059844249999998,541.7953275,541,18.033333333333335,12.929141999999999,14.021484749999999,10.0611555,1,b'SB_24.mp4'
2,18.07295925,542.1887775,542,18.066666666666666,19.167585,575.02755,575,19.166666666666668,27.5005895,825.017685,825,27.5,20.955650499999997,19.167585,19.167585,1,b'SB_11.mp4'
3,27.514891249999998,825.4467374999999,825,27.5,28.595637,857.86911,857,28.566666666666666,36.3601035,1090.803105,1090,36.333333333333336,32.595636999999996,28.595637,28.595637,0,b'NB_23.mp4'
4,36.37581875,1091.2745625,1091,36.36666666666667,37.2808275,1118.424825,1118,37.266666666666666,45.5468135,1366.404405,1366,45.53333333333333,41.2808275,37.2808275,37.2808275,0,b'NB_21.mp4'
5,45.561719,1366.8515699999998,1366,45.53333333333333,46.5765835,1397.297505,1397,46.56666666666667,53.742649,1612.27947,1612,53.733333333333334,50.5765835,46.5765835,46.5765835,0,b'NB_20.mp4'
6,59.98892275,1799.6676825,1799,59.96666666666667,61.034797749999996,1831.0439324999998,1831,61.03333333333333,69.09903175,2072.9709525,2072,69.06666666666666,65.03479775,61.034797749999996,61.034797749999996,2,b'HB_16.mp4'
7,69.113633,2073.40899,2073,69.1,70.043967,2101.3190099999997,2101,70.03333333333333,77.67373475,2330.2120425,2330,77.66666666666667,71.32773974999999,73.84322,70.043967,1,b'SB_16.mp4'
8,77.688485,2330.65455,2330,77.66666666666667,78.5983815,2357.951445,2357,78.56666666666666,86.52933875,2595.8801624999996,2595,86.5,82.5983815,78.5983815,78.5983815,0,b'NB_16.mp4'
9,86.54535475,2596.3606425,2596,86.53333333333333,87.5523425,2626.570275,2626,87.53333333333333,96.48284375,2894.4853125,2894,96.46666666666667,90.3838135,92.1682675,87.5523425,1,b'SB_18.mp4'
