trial_num,fixcross_time,fixation_HZ,fixation_bin,fixation_regarded,start_time,Fstart_HZ,Fstart_bin,Fstart_regarded,stop_time,Fstop_HZ,Fstop_bin,Fstop_regarded,RT,boundary_type,stimuli_type,resp_value,old_new,accuracy,confidence,frameName,response_time,response_HZ,response_bin,response_regarded
1,1237.06281575,37111.8844725,37111,1237.0333333333333,1237.5847465,37127.542395,37127,1237.5666666666666,1239.1404532499998,37174.2135975,37174,1239.1333333333334,1.367522286322128,3,0,7,1,2,3,b'HB_9_frameB_foil.png',1240.507975536322,37215.23926608966,37215,1240.5
2,1240.52544675,37215.7634025,37215,1240.5,1241.0675529999999,37232.026589999994,37232,1241.0666666666666,1242.5949685,37277.849055,37277,1242.5666666666666,2.017555992371854,1,1,2,2,2,3,b'NB_25_frameB.png',1244.612524492372,37338.37573477116,37338,1244.6
3,1244.6273155,37338.81946499999,37338,1244.6,1245.1694065,37355.082194999995,37355,1245.1666666666667,1246.6971879999999,37400.91564,37400,1246.6666666666667,0.11053251457997249,2,1,2,2,2,3,b'SB_5_frameA.png',1246.8077205145798,37404.2316154374,37404,1246.8
4,1246.8202684999999,37404.608055,37404,1246.8,1247.3421154999999,37420.263464999996,37420,1247.3333333333333,1248.8727815,37466.183445,37466,1248.8666666666666,1.7917670984570577,1,0,7,1,2,3,b'NB_14_frameB_foil.png',1250.664548598457,37519.936457953714,37519,1250.6333333333334
5,1250.678527,37520.35581,37520,1250.6666666666667,1251.2404695,37537.214085,37537,1251.2333333333333,1252.7909352499998,37583.7280575,37583,1252.7666666666667,0.17902090544157545,1,0,7,1,2,3,b'NB_19_frameA_foil.png',1252.9699561554414,37589.098684663244,37589,1252.9666666666667
6,1252.99187525,37589.7562575,37589,1252.9666666666667,1253.553749,37606.61247,37606,1253.5333333333333,1255.0810165,37652.430495,37652,1255.0666666666666,0.322328093689066,3,0,7,1,2,3,b'HB_2_frameB_foil.png',1255.403344593689,37662.100337810676,37662,1255.4
7,1255.42706,37662.811799999996,37662,1255.4,1256.0089885,37680.269655,37680,1256.0,1257.5561539999999,37726.68462,37726,1257.5333333333333,2.19266231344227,1,1,2,2,2,3,b'NB_8_frameA.png',1259.7488163134421,37792.46448940327,37792,1259.7333333333333
8,1259.761033,37792.83099,37792,1259.7333333333333,1260.30285975,37809.085792499995,37809,1260.3,1261.85080475,37855.5241425,37855,1261.8333333333333,-1.4264017891800904,2,0,7,1,2,3,b'SB_1_frameA_foil.png',1260.4244029608199,37812.732088824596,37812,1260.4
9,1260.446039,37813.38117,37813,1260.4333333333334,1261.027992,37830.83976,37830,1261.0,1262.57521,37877.2563,37877,1262.5666666666666,1.1803501905233134,2,0,7,1,2,3,b'SB_2_frameB_foil.png',1263.7555601905233,37912.6668057157,37912,1263.7333333333333
10,1263.76241925,37912.8725775,37912,1263.7333333333333,1264.3244399999999,37929.733199999995,37929,1264.3,1265.8716325,37976.148975000004,37976,1265.8666666666666,3.145474921226196,1,1,2,2,2,3,b'NB_11_frameB.png',1269.0171074212262,38070.513222636786,38070,1269.0
11,1269.0252835,38070.758505,38070,1269.0,1269.52697175,38085.8091525,38085,1269.5,1271.0541355,38131.624065,38131,1271.0333333333333,1.576724113076125,2,0,7,1,2,3,b'SB_6_frameA_foil.png',1272.6308596130762,38178.925788392284,38178,1272.6
12,1272.6394552499999,38179.1836575,38179,1272.6333333333334,1273.201349,38196.04047,38196,1273.2,1274.72847475,38241.8542425,38241,1274.7,1.8952616122096515,2,0,7,1,2,3,b'SB_3_frameB_foil.png',1276.6237363622097,38298.71209086629,38298,1276.6
13,1276.64501075,38299.3503225,38299,1276.6333333333334,1277.22694325,38316.8082975,38316,1277.2,1278.77414375,38363.224312499995,38363,1278.7666666666667,4.156512222856691,1,1,2,2,2,3,b'NB_23_frameB.png',1282.9306559728566,38487.919679185696,38487,1282.9
14,1282.9528974999998,38488.586924999996,38488,1282.9333333333334,1283.514788,38505.44364,38505,1283.5,1285.0622274999998,38551.866825,38551,1285.0333333333333,1.4153191154891829,3,0,7,1,2,3,b'HB_3_frameA_foil.png',1286.477546615489,38594.32639846467,38594,1286.4666666666667
15,1286.48465475,38594.5396425,38594,1286.4666666666667,1287.04659625,38611.3978875,38611,1287.0333333333333,1288.57374025,38657.21220749999,38657,1288.5666666666666,1.8651618887979566,2,1,2,2,2,3,b'SB_6_frameA.png',1290.4389021387979,38713.167064163936,38713,1290.4333333333334
16,1290.4607695,38713.823084999996,38713,1290.4333333333334,1291.0227539999998,38730.68261999999,38730,1291.0,1292.5499995,38776.499985,38776,1292.5333333333333,1.8454459910099104,2,1,2,2,2,3,b'SB_3_frameA.png',1294.39544549101,38831.8633647303,38831,1294.3666666666666
17,1294.406831,38832.20493,38832,1294.4,1294.92864775,38847.8594325,38847,1294.9,1296.45568975,38893.670692499996,38893,1296.4333333333334,2.4433160588523606,1,0,7,1,2,3,b'NB_21_frameA_foil.png',1298.8990058088523,38966.97017426557,38966,1298.8666666666666
