id,fixcross_time,fixation_HZ,fixation_bin,fixation_regarded,start_time,Vstart_HZ,Vstart_bin,Vstart_regarded,stop_time,Vstop_HZ,Vstop_bin,Vstop_regarded,boundary1_time,boundary2_time,boundary3_time,stimCategory,Clip_name
0,0.059594999999999995,1.78785,1,0.03333333333333333,1.0842272499999999,32.52681749999999,32,1.0666666666666667,8.3831025,251.49307499999998,251,8.366666666666667,4.81863475,1.0842272499999999,1.0842272499999999,1,b'SB_8.mp4'
1,8.39933525,251.9800575,251,8.366666666666667,9.459705999999999,283.79117999999994,283,9.433333333333334,17.442978,523.28934,523,17.433333333333334,13.459705999999999,9.459705999999999,9.459705999999999,0,b'NB_11.mp4'
2,17.4616625,523.849875,523,17.433333333333334,18.473895249999998,554.2168575,554,18.466666666666665,26.73988125,802.1964375,802,26.733333333333334,22.473895249999998,18.473895249999998,18.473895249999998,0,b'NB_21.mp4'
3,26.758360999999997,802.75083,802,26.733333333333334,27.663321749999998,829.8996524999999,829,27.633333333333333,35.82918075,1074.8754225,1074,35.8,33.1922815,27.663321749999998,27.663321749999998,1,b'SB_2.mp4'
4,35.847767499999996,1075.4330249999998,1075,35.833333333333336,36.9064755,1107.194265,1107,36.9,44.971171999999996,1349.1351599999998,1349,44.96666666666667,40.9064755,36.9064755,36.9064755,2,b'HB_18.mp4'
5,44.9865935,1349.5978049999999,1349,44.96666666666667,45.941211249999995,1378.2363374999998,1378,45.93333333333333,53.9399545,1618.198635,1618,53.93333333333333,49.941211249999995,45.941211249999995,45.941211249999995,0,b'NB_9.mp4'
6,53.957564999999995,1618.7269499999998,1618,53.93333333333333,55.022147249999996,1650.6644175,1650,55.0,62.6183365,1878.550095,1878,62.6,55.9977965,58.14607175,59.79238475,1,b'SB_28.mp4'
7,80.63837425,2419.1512275,2419,80.63333333333334,81.67608525,2450.2825575,2450,81.66666666666667,89.9084465,2697.2533949999997,2697,89.9,83.60141825,85.79421825,87.50358299999999,1,b'SB_29.mp4'
8,89.92720775,2697.8162325,2697,89.9,90.94798825,2728.4396475,2728,90.93333333333334,98.98209475,2969.4628425,2969,98.96666666666667,94.94798825,90.94798825,90.94798825,0,b'NB_12.mp4'
9,99.00103675,2970.0311025,2970,99.0,99.97842675,2999.3528025,2999,99.96666666666667,107.14449225,3214.3347675,3214,107.13333333333334,103.97842675,99.97842675,99.97842675,0,b'NB_20.mp4'
10,107.1633985,3214.901955,3214,107.13333333333334,108.0765055,3242.295165,3242,108.06666666666666,116.109827,3483.29481,3483,116.1,112.0765055,110.53967499999999,113.95115249999999,2,b'HB_9.mp4'
11,116.12877574999999,3483.8632724999998,3483,116.1,117.22849425,3516.8548275,3516,117.2,125.895941,3776.87823,3776,125.86666666666666,121.22849425,117.22849425,117.22849425,0,b'NB_6.mp4'
12,125.91499424999999,3777.4498274999996,3777,125.9,126.94720299999999,3808.4160899999997,3808,126.93333333333334,135.011314,4050.33942,4050,135.0,131.94860524999999,126.94720299999999,126.94720299999999,1,b'SB_15.mp4'
13,144.7628655,4342.885965,4342,144.73333333333332,145.7087,4371.2609999999995,4371,145.7,153.90625325,4617.187597499999,4617,153.9,149.7087,147.26822975,151.63745425,2,b'HB_10.mp4'
14,153.92519174999998,4617.755752499999,4617,153.9,154.8436425,4645.309275,4645,154.83333333333334,163.07654875,4892.2964625,4892,163.06666666666666,157.42805725,159.739013,154.8436425,1,b'SB_19.mp4'
15,163.09552725,4892.8658175,4892,163.06666666666666,164.043723,4921.31169,4921,164.03333333333333,172.10947,5163.2841,5163,172.1,168.043723,167.27098125,170.30835474999998,2,b'HB_15.mp4'
16,172.12837925,5163.8513775,5163,172.1,173.20889325,5196.2667974999995,5196,173.2,181.23757675,5437.1273025,5437,181.23333333333332,177.20889325,173.20889325,173.20889325,2,b'HB_28.mp4'
17,181.256494,5437.69482,5437,181.23333333333332,182.1999635,5465.9989049999995,5465,182.16666666666666,190.299779,5708.99337,5708,190.26666666666668,186.1999635,182.1999635,182.1999635,0,b'NB_5.mp4'
18,190.318762,5709.56286,5709,190.3,191.3146665,5739.439995,5739,191.3,199.347534,5980.42602,5980,199.33333333333334,195.3146665,191.3146665,191.3146665,0,b'NB_24.mp4'
19,199.36650874999998,5980.9952625,5980,199.33333333333334,200.4483545,6013.450635,6013,200.43333333333334,208.678113,6260.34339,6260,208.66666666666666,204.4483545,200.4483545,200.4483545,0,b'NB_26.mp4'
